 31   33   28   49   35   26   25   36   28   34   44   50   33   36  
 34   37   42   52   39   28   26   35   25   43   37   31   30   29  
 34   33   35   40   37   31   26   32   27   55   35   42   34   27  
 29   36   44   45   31   34   31   24   21   45   47   40   35   26  
 30   35   32   48   39   31   21   23   33   34   53   42   44   23  
 28   39   37   34   34   20   31   29   30   41   52   44   39   30  
 35   39   32   40   37   25   27   26   31   45   45   40   32   34  
 32   34   45   37   39   32   27   22   29   36   44   33   44   34  
 30   38   40   42   31   30   26   29   30   45   40   43   32   32  
 39   40   39   38   41   32   35   29   30   26   34   43   33   29  
 34   33   43   55   36   44   27   28   23   36   28   48   28   25  
 26   39   41   39   36   33   27   35   35   36   43   39   30   29  
 32   32   34   47   30   26   29   30   34   32   43   47   35   37  
 34   33   37   45   36   25   29   34   24   32   51   46   33   29  
 28   33   41   48   41   28   30   24   22   41   51   34   32   35  
 34   44   31   36   33   33   33   21   27   39   40   42   41   34  
 29   30   33   47   37   32   24   31   36   31   41   42   40   35  
 31   38   43   55   41   31   30   26   30   29   37   37   32   28  
 29   34   37   39   40   29   27   31   38   41   36   42   35   30  
 31   38   35   44   30   22   30   35   34   35   44   42   40   28  
 27   27   40   45   36   28   35   24   25   47   42   32   40   40  
 32   29   44   40   38   29   32   25   26   39   36   51   34   33  
 34   34   39   31   26   30   32   33   26   45   41   36   49   32  
 24   29   39   39   34   30   29   30   35   37   45   55   37   25  
 36   41   33   41   34   30   23   33   31   37   42   47   29   31  
 28   26   39   38   41   23   24   30   36   33   39   56   38   37  
 29   38   31   38   40   27   27   29   25   38   45   37   45   39  
 31   38   35   43   35   27   40   28   24   30   51   41   39   26  
 25   30   43   43   38   31   35   27   33   25   45   41   36   36  
 30   27   44   41   31   32   25   27   38   37   46   46   40   24  
 39   29   43   42   30   33   35   28   29   39   47   36   27   31  
 27   32   37   47   43   31   26   23   26   38   38   52   30   38  
 24   41   36   44   37   29   16   34   43   43   46   22   30   43  
 40   32   34   49   34   28   36   23   29   36   36   47   31   33  
 28   34   35   46   36   32   37   23   31   31   44   46   30   35  
 34   46   36   48   32   28   30   33   28   36   48   33   22   34  
 28   36   46   37   32   28   30   24   28   49   50   38   32   30  
 32   37   39   35   41   26   32   29   30   37   38   52   31   29  
 36   37   48   38   34   31   24   27   27   43   46   26   40   31  
 38   34   34   38   33   30   34   28   27   34   45   46   39   28  
 25   37   48   53   34   26   32   26   34   33   37   47   29   27  
 30   40   52   39   30   33   34   27   30   28   42   43   36   24  
 30   44   39   43   23   25   22   36   30   52   42   42   29   31  
 32   37   47   42   31   32   27   31   30   39   42   33   35   30  
 21   27   38   36   35   40   22   25   33   37   49   39   49   37  
 24   32   41   55   31   27   29   25   36   29   44   40   38   37  
 25   34   39   55   31   29   31   33   30   39   37   35   34   36  
 30   36   34   44   37   25   25   32   32   28   44   55   30   36  
 28   33   43   42   35   42   25   30   31   39   36   41   29   34  
 28   37   41   51   35   25   35   20   24   47   44   38   37   26  
 29   45   34   41   35   30   33   29   30   30   40   41   41   30  
 27   27   52   40   30   30   39   27   25   31   44   43   42   31  
 43   33   37   25   42   33   23   30   34   37   47   41   31   32  
 23   42   43   42   42   27   26   32   32   28   49   33   31   38  
 29   34   48   51   36   29   39   29   27   29   33   34   34   36  
 34   36   34   45   29   28   25   31   22   46   47   44   39   28  
 29   41   39   41   29   33   24   31   33   45   43   30   41   29  
 40   26   35   34   31   45   28   32   24   42   44   38   33   36  
 25   28   45   45   30   29   34   31   27   36   31   43   51   33  
 30   35   40   40   43   29   40   26   32   42   38   37   22   34  
 31   30   46   43   43   30   27   30   28   38   31   48   38   25  
 29   27   39   40   43   33   31   24   35   31   42   41   38   35  
 37   26   47   50   36   21   25   33   33   34   46   37   30   33  
