 35   30   38   34   41   33   27   25   35   44   36   43   30   37  
 34   31   32   46   38   34   23   21   31   37   47   47   31   36  
 25   33   43   40   33   27   23   28   28   49   42   52   30   35  
 31   35   32   47   28   30   33   28   26   38   49   40   32   39  
 29   34   46   37   38   30   32   24   35   35   47   46   26   29  
 36   34   35   45   48   27   27   30   26   35   45   38   35   27  
 28   43   48   41   43   27   27   29   25   36   42   28   45   26  
 28   29   40   42   39   22   30   34   26   44   45   37   29   43  
 31   30   45   37   34   36   21   32   22   41   49   40   38   32  
 33   37   37   38   37   33   26   31   30   34   43   38   49   22  
 33   45   30   44   44   32   25   33   23   30   48   42   33   26  
 38   36   40   48   33   27   29   29   25   38   45   30   40   30  
 23   40   35   44   38   16   24   35   36   34   53   39   36   35  
 25   32   43   41   34   30   25   26   38   39   40   36   40   39  
 31   34   37   32   36   36   25   25   41   37   42   39   34   39  
 30   45   37   36   44   26   28   27   31   34   47   35   33   35  
 31   37   34   48   48   24   35   23   26   24   51   42   37   28  
 32   34   51   41   38   31   34   37   29   30   32   33   34   32  
 32   41   35   45   37   32   37   22   26   38   45   30   45   23  
 37   36   48   41   37   28   30   24   29   36   37   34   40   31  
 28   50   34   36   26   28   26   26   28   42   55   48   31   30  
 24   38   37   48   40   29   27   31   26   36   52   39   33   28  
 32   32   45   52   38   26   32   30   31   25   43   33   38   31  
 29   27   29   44   38   36   34   25   29   43   39   35   43   37  
 30   31   40   49   32   29   29   20   34   35   49   41   32   37  
 32   30   30   50   33   28   21   26   33   39   46   43   40   37  
 29   30   37   52   33   35   44   26   29   27   35   30   42   39  
 29   41   55   38   37   32   30   23   29   30   30   43   37   34  
 33   33   31   45   40   20   35   26   41   39   36   39   41   29  
 37   31   53   38   45   30   26   32   24   32   49   25   30   36  
 23   44   32   40   39   29   27   31   36   38   39   38   37   35  
 36   42   32   36   33   28   30   27   34   43   49   35   28   35  
 26   38   29   40   35   34   28   34   32   45   37   31   45   34  
 35   34   44   34   35   28   39   18   34   45   40   37   33   32  
 30   32   43   39   41   30   29   31   36   30   45   47   28   27  
 33   35   32   53   36   35   26   26   33   33   45   37   35   29  
 30   39   36   39   32   25   31   30   28   35   48   42   32   41  
 31   38   44   45   48   33   23   30   24   29   34   38   37   34  
 33   42   42   45   38   26   33   26   26   35   37   36   39   30  
 27   33   36   43   30   31   23   30   30   30   46   44   47   38  
 29   30   45   43   33   38   28   33   29   29   43   43   37   28  
 26   33   35   52   46   23   30   32   26   40   38   38   44   25  
 38   41   47   38   28   33   30   32   24   36   40   40   28   33  
 35   36   36   35   47   26   27   23   30   38   51   31   37   36  
 33   38   35   52   32   25   24   38   34   35   45   37   30   30  
 29   29   33   50   40   26   28   28   27   37   40   43   49   29  
 28   42   33   43   39   27   38   25   30   29   44   39   42   29  
 21   36   35   48   40   29   25   30   39   33   38   43   39   32  
 30   36   34   43   41   36   24   22   30   38   41   47   33   33  
 23   38   41   34   44   27   26   37   36   26   42   38   38   38  
 37   31   46   45   33   34   22   26   29   34   46   38   35   32  
 33   41   46   42   34   36   23   32   27   36   49   31   30   28  
 30   35   32   38   31   38   28   25   35   44   46   41   34   31  
 29   33   42   58   29   33   27   28   27   38   41   46   26   31  
 33   37   46   44   33   27   26   27   38   26   35   49   41   26  
 35   32   41   49   35   26   25   26   24   38   40   47   39   31  
 38   33   39   40   35   32   26   30   39   39   40   41   29   27  
 33   41   41   33   44   25   24   25   22   45   52   49   31   23  
 31   30   33   52   39   36   33   22   23   37   33   40   42   37  
 31   26   40   39   31   35   35   27   24   42   48   30   46   34  
 33   34   40   44   42   25   27   35   28   31   53   32   37   27  
 34   40   30   43   37   33   24   33   32   35   46   37   36   28  
 30   35   30   42   48   41   25   27   25   40   37   39   37   32  
 34   35   38   39   47   29   31   21   21   41   45   47   34   26  
 29   41   48   53   46   39   30   21   24   26   37   37   28   29  
 32   35   43   33   35   29   37   34   25   42   33   31   49   30  
 41   30   33   37   42   38   34   28   36   32   37   38   35   27  
 24   37   28   55   40   33   24   32   26   29   48   45   35   32  
 24   37   33   45   31   34   31   30   27   35   51   42   28   40  
 26   30   45   46   30   28   33   31   28   41   38   42   37   33  
 33   24   42   33   37   21   33   38   33   29   48   51   33   33  
 35   32   43   41   34   22   23   34   37   31   47   44   33   32  
 35   37   35   45   37   27   31   30   28   38   39   41   34   31  
 31   30   43   44   34   37   33   21   25   29   41   40   36   44  
 38   28   31   39   43   26   32   31   26   36   48   37   42   31  
 37   32   43   40   31   38   30   29   34   35   42   40   33   24  
 32   36   44   47   51   27   28   27   22   29   46   40   34   25  
 36   32   46   45   44   33   35   23   22   28   35   42   41   26  
 43   29   45   41   43   29   25   24   27   31   53   37   35   26  
 37   37   35   41   36   35   38   28   25   36   34   38   38   30  
 32   35   31   39   42   28   34   23   29   36   48   33   36   42  
 35   37   33   46   43   30   27   27   31   37   46   42   29   25  
 34   41   25   41   46   24   30   31   29   37   50   38   32   30  
 29   33   45   39   23   28   30   31   38   42   39   47   33   31  
 34   37   42   37   42   28   26   18   34   32   51   34   39   34  
 40   29   33   45   44   26   27   30   25   38   42   41   34   34  
 25   40   35   40   34   24   28   32   22   45   47   51   31   34  
 36   29   42   41   39   26   33   29   22   44   38   33   45   31  
 30   37   44   50   30   40   31   25   24   35   54   32   28   28  
 27   28   39   40   29   29   30   32   31   35   42   50   31   45  
 22   30   43   39   39   21   32   29   34   32   46   44   40   37  
 35   35   37   47   29   22   34   30   29   37   49   47   32   25  
 34   28   40   44   39   21   22   27   37   43   38   39   40   36  
 28   35   29   49   33   37   26   34   31   39   43   35   36   33  
 28   30   60   45   37   30   25   28   30   35   42   35   25   38  
 35   34   39   44   36   27   33   34   21   30   39   39   45   32  
 34   33   45   40   29   32   31   30   28   30   43   45   44   24  
 30   41   43   43   34   39   24   23   30   32   43   46   24   36  
 34   48   35   46   37   37   25   25   28   38   36   45   27   27  
 32   36   36   53   34   37   26   32   24   33   42   31   35   37  
 38   38   37   38   39   31   38   19   30   37   52   38   31   22  
 35   30   39   53   37   24   35   35   27   32   41   45   29   26  
 30   28   40   50   30   25   36   31   30   31   42   44   33   38  
 32   38   34   53   42   25   26   34   27   26   42   39   38   32  
 26   36   39   43   38   28   26   31   28   45   42   37   35   34  
 30   34   40   39   43   39   22   26   28   30   40   39   45   33  
 27   47   43   31   36   28   22   30   25   38   45   50   31   35  
 31   36   30   53   31   34   23   30   35   31   48   33   40   33  
 34   37   39   49   32   29   27   29   25   42   47   37   30   31  
 37   34   45   53   47   26   26   37   22   31   41   42   28   19  
 35   30   41   39   43   34   30   29   28   33   44   34   39   29  
 32   35   40   47   30   25   34   37   26   37   42   35   41   27  
 29   34   35   47   26   34   28   36   28   35   40   49   31   36  
 33   28   53   42   28   34   24   24   33   38   40   40   44   27  
 33   33   37   41   24   33   27   38   28   36   43   47   37   31  
 31   36   44   48   30   27   34   29   31   37   49   32   32   28  
 43   32   43   40   34   35   23   33   25   44   35   43   27   31  
 43   22   47   43   31   33   33   35   32   33   36   45   31   24  
