 31   40   42   34   46   19   34   21   26   46   37   35   41   36  
 25   43   46   44   40   21   21   36   37   32   33   45   38   27  
 41   31   45   40   39   27   34   24   27   43   36   42   29   30  
 37   31   42   38   34   34   30   27   23   35   46   32   35   44  
 34   38   51   38   35   38   22   30   27   36   40   32   32   35  
 41   37   37   38   47   27   29   25   20   31   46   41   31   38  
 35   23   46   42   40   31   23   24   35   36   43   40   31   39  
 38   25   36   42   42   34   27   28   31   32   49   33   30   41  
 33   34   40   33   42   19   29   36   27   40   45   46   33   31  
 31   35   45   37   37   34   27   28   34   27   44   44   41   24  
 39   33   34   52   31   24   30   45   31   33   38   28   46   24  
 31   32   52   44   42   27   18   34   27   36   35   43   34   33  
 22   36   43   43   35   32   26   24   40   31   39   35   43   39  
 35   37   39   53   36   30   33   26   29   28   44   34   38   26  
 31   38   37   44   42   24   29   29   33   34   39   40   36   32  
 37   44   41   45   34   33   33   26   30   41   28   33   36   27  
 27   27   52   40   44   28   32   27   32   28   35   46   39   31  
 31   35   40   43   45   27   34   25   36   32   49   26   37   28  
 29   28   49   37   49   21   35   29   24   39   31   41   45   31  
 40   41   40   54   30   27   32   28   34   45   29   38   26   24  
 28   37   38   37   36   29   25   32   31   41   40   42   39   33  
 26   33   45   46   46   31   22   30   24   35   48   38   30   34  
 31   46   47   42   38   27   35   28   24   27   32   51   31   29  
 27   36   33   33   44   34   42   22   37   27   53   36   29   35  
 36   40   28   39   42   36   24   34   26   41   43   34   39   26  
 37   35   39   52   43   18   29   28   22   35   42   39   40   29  
 29   22   43   44   33   32   30   30   25   33   43   59   29   36  
 30   32   45   36   32   32   29   34   24   36   50   40   31   37  
 31   31   45   43   32   40   30   22   40   37   33   40   44   20  
 31   38   43   43   34   27   26   36   21   36   57   40   28   28  
 33   34   40   45   50   27   26   22   35   30   47   44   28   27  
 43   36   34   39   42   33   26   25   29   39   40   38   32   32  
 33   32   43   40   28   39   26   25   30   31   45   43   31   42  
 34   33   48   39   36   30   29   25   26   36   40   39   39   34  
 25   32   39   40   43   29   28   29   34   41   46   38   27   37  
 29   47   45   37   30   31   27   23   33   30   48   41   36   31  
 37   36   38   41   34   29   20   37   37   34   40   41   33   31  
 36   30   39   30   31   30   29   31   34   35   44   44   46   29  
 30   31   47   41   33   28   32   28   29   38   36   47   34   34  
 31   32   43   47   34   32   25   32   31   25   43   43   42   28  
 35   35   42   43   30   27   27   27   25   55   44   37   33   28  
 30   33   37   44   43   33   31   27   31   32   40   42   31   34  
 36   23   39   44   28   28   37   31   24   38   49   40   45   26  
 31   37   42   40   43   29   30   33   27   34   34   36   39   33  
 37   38   41   41   37   34   36   29   25   42   39   29   32   28  
 31   32   40   46   27   32   34   27   29   40   36   34   48   32  
 31   34   39   49   45   24   26   27   35   46   37   35   32   28  
 35   42   30   42   31   33   39   31   26   31   44   39   36   29  
 35   37   38   32   45   31   22   30   30   34   57   31   40   26  
 29   42   43   39   40   27   28   31   27   37   48   35   22   40  
 34   41   29   33   47   33   27   38   26   28   42   35   30   45  
 41   44   35   48   27   34   26   39   19   44   39   33   33   26  
 37   31   39   54   37   30   25   20   36   33   40   43   36   27  
 30   40   46   33   25   25   31   29   29   47   43   35   35   40  
 31   35   28   40   33   35   39   25   25   38   38   42   45   34  
 26   44   39   39   42   33   31   31   36   27   38   42   37   23  
 31   37   36   45   35   22   35   27   33   43   49   31   38   26  
 26   26   35   52   44   28   25   25   37   33   42   51   37   27  
 36   32   45   41   39   30   37   21   32   40   41   36   32   26  
 31   36   40   38   30   33   26   31   31   38   35   42   46   31  
 45   32   39   39   45   22   32   30   28   34   50   48   23   21  
 47   34   38   36   40   31   28   26   25   39   50   31   36   27  
 35   32   33   49   30   32   29   31   32   38   48   44   28   27  
 35   42   43   42   29   18   34   27   32   47   36   47   29   27  
 42   28   39   49   37   33   25   24   24   38   49   34   32   34  
 38   38   30   30   34   40   21   28   26   37   45   47   40   34  
 33   27   43   42   32   24   30   36   33   39   33   42   39   35  
 25   36   35   46   38   30   29   37   23   24   48   52   33   32  
 30   24   51   44   29   22   27   29   33   38   41   39   41   40  
 22   45   38   42   31   37   33   29   25   34   37   50   30   35  
 35   36   41   42   35   31   34   25   24   33   47   40   33   32  
