Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
BR945,1994-07-08,X-band,1308+326,ND,3.73,1.51,0.81,
RDV31,2002-01-16,X-band,1156+295,ND,2.81,1.08,0.87,
RDV26,2001-03-12,X-band,1144-379,D,2.56,1.68,0.84,6334.39
RDV8,1998-04-15,X-band,1144-379,D,2.54,0.91,0.86,
RDV42,2003-12-17,X-band,1308+326,ND,2.48,2.36,0.73,2454.54
RDV75,2009-05-13,X-band,1156+295,ND,2.44,1.23,0.8,
RDV9,1998-06-24,X-band,1308+326,ND,2.43,4.02,0.46,
RDV2,1997-03-31,X-band,1308+326,ND,2.42,3.39,0.28,
RDV9,1998-06-24,X-band,1144-379,D,2.37,1.83,0.85,
RDV1,1997-01-30,X-band,1308+326,ND,2.33,3.96,0.27,
RDV5,1997-09-08,X-band,1308+326,ND,2.33,3.33,0.46,
RDV8,1998-04-15,X-band,1308+326,ND,2.32,3.91,0.45,
BL115C,2004-02-15,X-band,1308+326,ND,2.31,2.18,0.79,
RDV4,1997-07-24,X-band,1308+326,ND,2.26,3.18,0.42,
RDV12,1998-12-21,X-band,1156+295,ND,2.22,1.68,0.88,
RDV10,1998-08-10,X-band,1308+326,ND,2.22,4,0.46,
RV104,2014-04-01,X-band,1144-379,D,2.2,1.68,0.91,5238.72
RDV96,2012-12-05,X-band,1144-379,D,2.18,1.95,0.78,4767.51
RDV59,2006-09-13,X-band,1144-379,D,2.15,2.7,0.73,
RDV12,1998-12-21,X-band,1144-379,D,2.13,2.11,0.82,
RDV3,1997-05-19,X-band,1308+326,ND,2.11,2.74,0.38,
RDV7,1998-02-09,X-band,1308+326,ND,2.09,3.77,0.47,
RDV12,1998-12-21,X-band,1308+326,ND,2.06,3.97,0.48,
RDV10,1998-08-10,X-band,1144-379,D,2.02,1.51,0.9,
RDV88,2011-08-02,X-band,1144-379,D,2,1.89,0.88,5398.74
RDV6,1997-12-17,X-band,1308+326,ND,2,3.69,0.46,
RDV5,1997-09-08,X-band,1144-379,D,1.99,2.45,0.7,
RDV62,2007-03-27,X-band,1144-379,D,1.96,2.16,0.73,4695.86
RDV71,2008-09-03,X-band,1144-379,D,1.91,1.92,0.72,
RDV20,2000-03-13,X-band,1144-379,D,1.9,2.04,0.72,2681.22
RDV51,2005-06-29,X-band,1144-379,D,1.9,1.68,0.88,4571.94
RDV88,2011-08-02,X-band,1156+295,ND,1.9,2.01,0.76,4787.17
RDV61,2007-01-24,X-band,1144-379,D,1.89,0.69,0.79,
RDV82,2010-10-13,X-band,1144-379,D,1.89,1.46,0.9,7607.86
BR945,1994-07-08,X-band,1313-333,D,1.89,1.68,0.89,
RDV71,2008-09-03,X-band,1156+295,ND,1.88,0.4,0.91,
RDV72,2008-12-17,X-band,1144-379,D,1.87,2.29,0.84,3082.47
RDV90,2011-12-20,X-band,1144-379,D,1.85,1.98,0.74,4949.74
RV118,2016-07-06,X-band,1144-379,D,1.82,2.43,0.71,2766.18
RDV20,2000-03-13,X-band,1156+295,ND,1.82,2.31,0.66,3010.05
BL122B,2005-08-26,X-band,1150+812,ND,1.78,3.15,0.53,
RDV57,2006-07-11,X-band,1156+295,ND,1.78,2.77,0.72,
RDV59,2006-09-13,X-band,1156+295,ND,1.78,1.29,0.9,
RDV63,2007-06-26,X-band,1144-379,D,1.75,2.88,0.73,
RDV7,1998-02-09,X-band,1144-379,D,1.74,2.04,0.78,
RDV10,1998-08-10,X-band,1156+295,ND,1.7,2.14,0.91,
