Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
RDV26,2001-03-12,X-band,1213-172,ND,1.7,2.6,0.7,2800.29
RDV94,2012-08-22,X-band,1144-379,D,1.68,2.06,0.89,4899.43
RDV80,2010-08-04,X-band,1144-379,D,1.63,1.92,0.96,3823.42
RV114,2015-12-02,X-band,1144-379,D,1.62,2.54,0.73,2904.6
RDV4,1997-07-24,X-band,1144-379,D,1.61,2.11,0.77,
RDV31,2002-01-16,X-band,1144-379,D,1.55,2.2,0.8,
RV100,2013-07-24,X-band,1144-379,D,1.55,2.58,0.71,3216.22
RDV51,2005-06-29,X-band,1308+326,ND,1.55,3.2,0.65,2747.11
RDV76,2009-07-29,X-band,1213-172,ND,1.53,2.9,0.63,2271.43
RDV64,2007-07-10,X-band,1144-379,D,1.52,2.25,0.92,2831.54
BL122B,2005-08-26,X-band,1308+326,ND,1.52,3.07,0.55,
RDV65,2007-08-01,X-band,1144-379,D,1.5,2.63,0.54,
RV124,2017-07-17,X-band,1144-379,D,1.5,2.27,0.84,2465.98
RV116,2016-02-09,X-band,1144-379,D,1.48,2.04,0.83,3179.25
RDV26,2001-03-12,X-band,1313-333,D,1.48,2.61,0.72,3093.98
RDV66,2007-12-05,X-band,1144-379,D,1.47,1.29,0.97,6232.83
B9725B,1997-01-11,X-band,1213-172,ND,1.47,1.83,0.78,
RDV80,2010-08-04,X-band,1213-172,ND,1.46,2.67,0.64,2662.96
RDV98,2013-04-10,X-band,1144-379,D,1.44,2.67,0.77,2818.5
RV110,2015-03-25,X-band,1156+295,ND,1.44,2.6,0.79,1401.05
RDV67,2008-01-23,X-band,1144-379,D,1.43,2.29,0.66,
RDV68,2008-04-02,X-band,1144-379,D,1.4,2.45,0.73,3686.48
RDV20,2000-03-13,X-band,1308+326,ND,1.4,3.68,0.41,1439.24
RDV9,1998-06-24,X-band,1219+044,D,1.39,0.4,0.91,
RDV5,1997-09-08,X-band,1313-333,D,1.38,2.86,0.57,
RDV4,1997-07-24,X-band,1313-333,D,1.38,2.09,0.71,
RDV9,1998-06-24,X-band,1156+295,ND,1.37,1.95,0.85,
RDV42,2003-12-17,X-band,1144-379,D,1.35,3.03,0.75,1485.27
RV112,2015-07-15,X-band,1156+295,ND,1.33,2.01,0.81,3551.25
RDV2,1997-03-31,X-band,1144-379,D,1.32,2.14,0.8,
RDV69,2008-05-14,X-band,1144-379,D,1.32,3.1,0.75,
RDV75,2009-05-13,X-band,1144-379,D,1.32,2.04,0.74,
RDV42,2003-12-17,X-band,1156+295,ND,1.31,2.76,0.63,2246.97
RDV31,2002-01-16,X-band,1308+326,ND,1.31,3.48,0.43,
RDV86,2011-04-05,X-band,1324+224,D,1.31,2.11,0.67,2330.62
BR9525,1995-04-12,X-band,1150+812,ND,1.3,2.87,0.52,
RDV3,1997-05-19,X-band,1144-379,D,1.29,2.45,0.69,
RDV77,2009-10-07,X-band,1156+295,ND,1.29,1.41,0.7,
RDV70,2008-07-09,X-band,1150+812,ND,1.28,3.51,0.32,1563.33
RDV26,2001-03-12,X-band,1308+326,ND,1.27,3.86,0.36,1323.01
RDV45,2004-07-14,X-band,1150+497,D,1.26,3.61,0.45,
BL122B,2005-08-26,X-band,1156+295,ND,1.26,1.76,0.84,
RDV79,2010-06-23,X-band,1324+224,D,1.26,0.81,0.81,
RV118,2016-07-06,X-band,1213-172,ND,1.25,3.06,0.57,1950.55
BR945,1994-07-08,X-band,1156+295,ND,1.23,2.5,0.73,
RDV20,2000-03-13,X-band,1313-333,D,1.23,2.38,0.8,2108.8
RDV31,2002-01-16,X-band,1313-333,D,1.23,2.31,0.67,
RDV76,2009-07-29,X-band,1150+812,ND,1.21,3.81,0.23,1728.4
RV116,2016-02-09,X-band,1308+326,ND,1.21,2.63,0.63,3296.77
RDV2,1997-03-31,X-band,1313-333,D,1.2,2.51,0.69,
RV110,2015-03-25,X-band,1213-172,ND,1.16,3.11,0.61,1485.86
RDV1,1997-01-30,X-band,1144-379,D,1.14,3.42,0.6,
RDV84,2010-12-07,X-band,1324+224,D,1.13,2.25,0.73,2364.8
B9725A,1997-01-10,X-band,1324+224,D,1.12,0,0.98,
BL115C,2004-02-15,X-band,1324+224,D,1.11,0.56,0.85,
RDV78,2009-12-02,X-band,1324+224,D,1.11,2.58,0.79,1437.13
RDV70,2008-07-09,X-band,1144-379,D,1.1,3.07,0.69,1988.15
RDV26,2001-03-12,X-band,1156+295,ND,1.1,2.93,0.65,1551.07
RDV1,1997-01-30,X-band,1156+295,ND,1.1,2.42,0.65,
RV108,2014-12-03,X-band,1213-172,ND,1.09,2.9,0.64,1407.65
RDV3,1997-05-19,X-band,1313-333,D,1.09,2.51,0.7,
RV108,2014-12-03,X-band,1144-379,D,1.08,2.46,0.87,2126.47
RDV70,2008-07-09,X-band,1313-333,D,1.08,2.69,0.87,2104.89
RDV73,2009-01-21,X-band,1144-379,D,1.06,2.7,0.82,
RDV8,1998-04-15,X-band,1219+044,D,1.06,0.91,0.93,
RV114,2015-12-02,X-band,1144+402,D,1.04,2.85,0.52,1381.63
RDV6,1997-12-17,X-band,1313-333,D,1.04,2.81,0.52,
RDV26,2001-03-12,X-band,1150+812,ND,1.03,3.43,0.34,1017.37
RDV9,1998-06-24,X-band,1313-333,D,1.03,2.93,0.62,
BL122B,2005-08-26,X-band,1256-220,ND,1.02,1.89,0.77,
RDV2,1997-03-31,X-band,1156+295,ND,1.01,2.81,0.5,
RDV70,2008-07-09,X-band,1308+326,ND,1.01,2.51,0.74,3184.73
RDV1,1997-01-30,X-band,1313-333,D,0.99,2.04,0.66,
RDV62,2007-03-27,X-band,1156+295,ND,0.98,2.36,0.78,2351
RDV69,2008-05-14,X-band,1308+326,ND,0.98,4.09,0.45,
RDV59,2006-09-13,X-band,1244-255,D,0.96,0.2,0.69,
RDV98,2013-04-10,X-band,1324+224,D,0.94,2.6,0.74,1353.09
RDV90,2011-12-20,X-band,1144+402,D,0.92,2.34,0.82,1766.35
RDV64,2007-07-10,X-band,1219+044,D,0.91,2.18,0.88,3000.11
RDV74,2009-04-21,X-band,1144-379,D,0.9,2.82,0.72,1879.67
RDV84,2010-12-07,X-band,1313-333,D,0.9,2.87,0.72,1301.11
RDV42,2003-12-17,X-band,1145-071,ND,0.89,2.95,0.61,1373.82
RDV96,2012-12-05,X-band,1156+295,ND,0.89,3.04,0.55,1675.91
RDV94,2012-08-22,X-band,1243-072,D,0.89,2.48,0.62,3453.94
RDV61,2007-01-24,X-band,1156+295,ND,0.88,1.95,0.95,
RDV7,1998-02-09,X-band,1313-333,D,0.88,2.8,0.55,
B9725B,1997-01-11,X-band,1150+497,D,0.87,2.82,0.6,
RDV92,2012-04-18,X-band,1236+077,D,0.87,2.81,0.63,2091.55
RDV8,1998-04-15,X-band,1313-333,D,0.87,2.87,0.69,
RDV96,2012-12-05,X-band,1244-255,D,0.86,2.06,0.9,3508.34
RDV10,1998-08-10,X-band,1313-333,D,0.84,2.63,0.66,
RDV75,2009-05-13,X-band,1324+224,D,0.84,1.89,0.63,
RDV68,2008-04-02,X-band,1156+295,ND,0.82,2.53,0.85,2205.82
RDV86,2011-04-05,X-band,1219+044,D,0.82,1.41,0.92,8216.3
RDV76,2009-07-29,X-band,1324+224,D,0.82,2.74,0.73,1255.09
RDV92,2012-04-18,X-band,1324+224,D,0.82,2.42,0.67,1978.1
RDV74,2009-04-21,X-band,1219+044,D,0.81,2.2,0.9,2269.38
RV104,2014-04-01,X-band,1236+077,D,0.81,3.28,0.55,1889.55
RV122,2017-04-25,X-band,1243-072,D,0.81,2.99,0.63,1339.07
RV114,2015-12-02,X-band,1243-072,D,0.79,3.09,0.63,1585.78
RDV62,2007-03-27,X-band,1236+077,D,0.78,2.85,0.58,1698.16
RDV57,2006-07-11,X-band,1308+326,ND,0.78,3.45,0.55,
RDV98,2013-04-10,X-band,1144+402,D,0.77,2.67,0.8,1520.61
RDV64,2007-07-10,X-band,1156+295,ND,0.77,2.5,0.82,1838.56
B9725A,1997-01-10,X-band,1144+402,D,0.76,0.2,0.99,
RDV76,2009-07-29,X-band,1144+402,D,0.76,2.69,0.71,1327.84
RDV8,1998-04-15,X-band,1156+295,ND,0.76,2.73,0.71,
RDV3,1997-05-19,X-band,1156+295,ND,0.76,2.8,0.56,
RDV42,2003-12-17,X-band,1219+044,D,0.76,2.88,0.74,1364.85
RDV73,2009-01-21,X-band,1324+224,D,0.76,1,0.87,
RDV6,1997-12-17,X-band,1219+044,D,0.75,1.51,0.9,
RV118,2016-07-06,X-band,1252+119,ND,0.75,2.89,0.63,2189.25
BL115C,2004-02-15,X-band,1313-333,D,0.75,3.14,0.6,
RDV78,2009-12-02,X-band,1144-379,D,0.74,2.89,0.81,2579.22
RDV69,2008-05-14,X-band,1236+077,D,0.74,2.46,0.52,
RV106,2014-09-03,X-band,1243-072,D,0.74,2.64,0.68,1825.68
RDV5,1997-09-08,X-band,1156+295,ND,0.73,3.78,0.3,
VABF12,1995-10-12,X-band,1219+044,D,0.73,2.31,0.82,
BR9525,1995-04-12,X-band,1236+077,D,0.73,2.95,0.45,
RDV96,2012-12-05,X-band,1236+077,D,0.72,3.09,0.66,1624.11
RDV61,2007-01-24,X-band,1308+326,ND,0.72,3.3,0.55,
RDV68,2008-04-02,X-band,1313-333,D,0.72,2.69,0.81,1901.51
RDV26,2001-03-12,X-band,1145-071,ND,0.71,2.74,0.75,1703.91
RV102,2013-12-11,X-band,1145-071,ND,0.71,3.66,0.49,1465.62
RDV4,1997-07-24,X-band,1156+295,ND,0.71,3.09,0.42,
RV120,2016-11-30,X-band,1244-255,D,0.71,2.95,0.71,1559.14
RDV78,2009-12-02,X-band,1144+402,D,0.7,2.76,0.7,1046.6
RDV31,2002-01-16,X-band,1145-071,ND,0.69,2.11,0.71,
RDV77,2009-10-07,X-band,1150+497,D,0.69,3.5,0.46,
RDV94,2012-08-22,X-band,1244-255,D,0.69,2.58,0.79,2303.78
RDV67,2008-01-23,X-band,1308+326,ND,0.68,2.74,0.69,
RDV51,2005-06-29,X-band,1219+044,D,0.67,2.48,0.87,1911.23
RDV75,2009-05-13,X-band,1145-071,ND,0.66,2.86,0.42,
B9725B,1997-01-11,X-band,1222+037,ND,0.66,4.51,0.55,
RV120,2016-11-30,X-band,1252+119,ND,0.66,2.91,0.66,1474.41
VABF12,1995-10-12,X-band,1145-071,ND,0.65,3.05,0.65,
RDV4,1997-07-24,X-band,1219+044,D,0.65,1.29,0.91,
RDV2,1997-03-31,X-band,1219+044,D,0.64,1.35,0.87,
RDV42,2003-12-17,X-band,1144+402,D,0.63,2.99,0.65,974.46
RDV79,2010-06-23,X-band,1144+402,D,0.63,2.01,0.68,
RDV66,2007-12-05,X-band,1156+295,ND,0.63,3.02,0.67,1303.44
RDV45,2004-07-14,X-band,1156+295,ND,0.63,2.89,0.51,
B9725B,1997-01-11,X-band,1243-072,D,0.63,2.06,0.71,
RDV12,1998-12-21,X-band,1313-333,D,0.63,3.17,0.59,
BL122B,2005-08-26,X-band,1147+245,ND,0.62,2.8,0.57,
RDV5,1997-09-08,X-band,1219+044,D,0.62,1.56,0.86,
BL115C,2004-02-15,X-band,1144+402,D,0.61,1.41,0.74,
RDV71,2008-09-03,X-band,1145-071,ND,0.61,2.78,0.47,
RDV79,2010-06-23,X-band,1145-071,ND,0.61,3.62,0.47,
RDV67,2008-01-23,X-band,1156+295,ND,0.61,2.42,0.86,
RDV84,2010-12-07,X-band,1236+077,D,0.61,3.25,0.58,1084.59
RDV7,1998-02-09,X-band,1156+295,ND,0.6,3.34,0.5,
RDV57,2006-07-11,X-band,1219+044,D,0.6,4.14,0.52,
RDV45,2004-07-14,X-band,1144-379,D,0.59,2.9,0.64,
RDV2,1997-03-31,X-band,1145-071,ND,0.59,2.86,0.76,
RDV4,1997-07-24,X-band,1145-071,ND,0.59,2.76,0.68,
RDV70,2008-07-09,X-band,1147+245,ND,0.59,3.31,0.45,1489.77
RDV3,1997-05-19,X-band,1219+044,D,0.59,1.83,0.92,
B9725B,1997-01-11,X-band,1302-102,ND,0.59,2.82,0.56,
RDV5,1997-09-08,X-band,1145-071,ND,0.58,2.76,0.65,
RDV6,1997-12-17,X-band,1156+295,ND,0.58,3.46,0.44,
RDV90,2011-12-20,X-band,1244-255,D,0.58,2.83,0.77,1395.03
RV122,2017-04-25,X-band,1313-333,D,0.58,3.41,0.67,1028.47
RDV10,1998-08-10,X-band,1145-071,ND,0.57,2.7,0.67,
RDV9,1998-06-24,X-band,1145-071,ND,0.57,2.8,0.73,
RDV8,1998-04-15,X-band,1145-071,ND,0.57,2.48,0.69,
RDV3,1997-05-19,X-band,1145-071,ND,0.57,2.63,0.69,
RDV66,2007-12-05,X-band,1219+044,D,0.57,2.57,0.87,1517.35
RDV1,1997-01-30,X-band,1219+044,D,0.57,1.35,0.94,
RDV20,2000-03-13,X-band,1145-071,ND,0.56,3.04,0.67,1679.63
RDV70,2008-07-09,X-band,1219+044,D,0.56,2.7,0.81,1852.91
RV106,2014-09-03,X-band,1252+119,ND,0.56,3.67,0.52,988.7
RDV12,1998-12-21,X-band,1145-071,ND,0.55,2.63,0.66,
RDV67,2008-01-23,X-band,1219+044,D,0.54,1.29,0.88,
RDV1,1997-01-30,X-band,1145-071,ND,0.53,2.53,0.72,
RDV88,2011-08-02,X-band,1244-255,D,0.52,3.17,0.78,798.96
RDV6,1997-12-17,X-band,1145-071,ND,0.51,2.69,0.68,
RDV42,2003-12-17,X-band,1313-333,D,0.51,3.91,0.5,499.36
RDV7,1998-02-09,X-band,1145-071,ND,0.5,2.56,0.71,
RV120,2016-11-30,X-band,1306+360,ND,0.49,2.2,0.86,2301.99
RDV67,2008-01-23,X-band,1252+119,ND,0.48,2.93,0.43,
RDV61,2007-01-24,X-band,1145-071,ND,0.47,3.58,0.42,
RV124,2017-07-17,X-band,1324+224,D,0.44,2.67,0.87,1383.27
B9725B,1997-01-11,X-band,1147+245,ND,0.43,2.46,0.71,
RV100,2013-07-24,X-band,1306+360,ND,0.42,2.43,0.92,2760.93
RV114,2015-12-02,X-band,1319-093,ND,0.42,2.14,0.81,2861.19
RDV88,2011-08-02,X-band,1130+009,D,0.41,2.8,0.75,1623.02
B9725A,1997-01-10,X-band,1252+119,ND,0.41,2.6,0.71,
RDV78,2009-12-02,X-band,1306+360,ND,0.41,2.74,0.82,1223
RDV61,2007-01-24,X-band,1252+119,ND,0.4,3.06,0.53,
RDV45,2004-07-14,X-band,1302-102,ND,0.4,3.77,0.45,
RDV77,2009-10-07,X-band,1306+360,ND,0.39,1.83,0.78,
RV104,2014-04-01,X-band,1325+126,D,0.39,2.74,0.68,2144.54
RV112,2015-07-15,X-band,1324+224,D,0.37,3.19,0.63,1295.07
RDV76,2009-07-29,X-band,1306+360,ND,0.37,2.77,0.8,1265.94
RDV75,2009-05-13,X-band,1306+360,ND,0.37,2.36,0.85,
RDV79,2010-06-23,X-band,1306+360,ND,0.36,2.09,0.8,
RV114,2015-12-02,X-band,1324+224,D,0.35,3.14,0.61,833.83
RDV63,2007-06-26,X-band,1306+360,ND,0.35,1.56,0.89,
RDV98,2013-04-10,X-band,1130+009,D,0.31,2.99,0.76,1088.53
RDV42,2003-12-17,X-band,1315+346,ND,0.31,3.98,0.37,304.24
VABF12,1995-10-12,X-band,1315+346,ND,0.31,2.78,0.67,
RDV68,2008-04-02,X-band,1156-214,ND,0.3,3.16,0.64,1516.38
RV114,2015-12-02,X-band,1227+255,D,0.29,3.17,0.45,1467.38
RDV74,2009-04-21,X-band,1315+346,ND,0.28,2.8,0.73,1441.89
RV110,2015-03-25,X-band,1130+009,D,0.26,3.33,0.54,897.26
RDV20,2000-03-13,X-band,1215+303,ND,0.26,2.99,0.63,1247.35
BL122B,2005-08-26,X-band,1308+554,ND,0.25,2.14,0.78,
BR9525,1995-04-12,X-band,1130+009,D,0.24,2.43,0.7,
B9725A,1997-01-10,X-band,1215+303,ND,0.22,1.95,0.78,
RDV65,2007-08-01,X-band,1143-332,D,0.21,2.84,0.89,
RDV90,2011-12-20,X-band,1158+007,ND,0.2,2.91,0.69,1764.29
RV104,2014-04-01,X-band,1300+485,ND,0.2,3.09,0.78,1154.87
RDV62,2007-03-27,X-band,1315+346,ND,0.19,3.68,0.42,751.77
RDV74,2009-04-21,X-band,1308+554,ND,0.17,2.93,0.69,889.73
RV110,2015-03-25,X-band,1143-332,D,0.16,3.3,0.74,868.97
RV118,2016-07-06,X-band,1143-332,D,0.16,3.31,0.7,973.19
RDV90,2011-12-20,X-band,1143-332,D,0.15,3.17,0.77,1076.57
RV106,2014-09-03,X-band,1143-332,D,0.15,3.14,0.79,1061.25
RV108,2014-12-03,X-band,1143-332,D,0.15,3.33,0.68,931.75
RV122,2017-04-25,X-band,1143-332,D,0.15,3.3,0.74,1049.55
RDV79,2010-06-23,X-band,1308+554,ND,0.15,2.43,0.82,
RV110,2015-03-25,X-band,1308+554,ND,0.15,3.24,0.64,1031.18
RV104,2014-04-01,X-band,1205-008,ND,0.15,3.2,0.78,904.35
RV112,2015-07-15,X-band,1130+106,ND,0.13,3.02,0.78,1055.24
RV120,2016-11-30,X-band,1130+106,ND,0.11,3.3,0.68,772.78
RV120,2016-11-30,X-band,1157+014,ND,0.09,3.37,0.68,887.05
RV114,2015-12-02,X-band,1140+668,ND,0.07,3.85,0.53,582.95
