Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
RDV20,2000-03-13,X-band,1334-127,D,7.25,1.86,0.76,4852.69
RDV64,2007-07-10,X-band,1334-127,D,5.88,2.25,0.68,4211.95
RDV26,2001-03-12,X-band,1334-127,D,5.81,2.65,0.68,9592.67
RDV51,2005-06-29,X-band,1334-127,D,5.7,2.14,0.56,5240.31
RDV63,2007-06-26,X-band,1334-127,D,5.58,1.98,0.79,
RDV67,2008-01-23,X-band,1334-127,D,5.44,1.08,0.81,
RV110,2015-03-25,X-band,1334-127,D,5.42,3.57,0.58,5298.37
RDV45,2004-07-14,X-band,1611+343,ND,5.4,3.09,0.53,
RV104,2014-04-01,X-band,1424-418,D,5.19,1.64,0.87,3021.74
RDV68,2008-04-02,X-band,1334-127,D,5.14,1.89,0.82,9585.45
RDV70,2008-07-09,X-band,1334-127,D,5.11,1.86,0.73,6911.98
BR945,1994-07-08,X-band,1334-127,D,4.94,2.77,0.62,
RDV4,1997-07-24,X-band,1334-127,D,4.79,2.14,0.85,
RDV5,1997-09-08,X-band,1334-127,D,4.78,2.29,0.83,
BL115C,2004-02-15,X-band,1334-127,D,4.68,2.09,0.8,
RDV42,2003-12-17,X-band,1611+343,ND,4.59,2.96,0.51,2855.74
RDV66,2007-12-05,X-band,1334-127,D,4.49,1.89,0.64,12061.23
RDV98,2013-04-10,X-band,1424-418,D,4.43,1.51,0.95,6335.35
RDV2,1997-03-31,X-band,1334-127,D,4.34,2.29,0.8,
RDV71,2008-09-03,X-band,1334-127,D,4.33,1.64,0.61,
RDV3,1997-05-19,X-band,1334-127,D,4.22,2.2,0.81,
RDV78,2009-12-02,X-band,1334-127,D,4.15,2.98,0.6,2172.97
RDV65,2007-08-01,X-band,1334-127,D,4.1,2.58,0.56,
RDV62,2007-03-27,X-band,1334-127,D,4.07,2.01,0.62,3737.11
RDV5,1997-09-08,X-band,1611+343,ND,4.03,3.1,0.56,
RDV42,2003-12-17,X-band,1334-127,D,3.99,2.58,0.6,2943.18
RDV7,1998-02-09,X-band,1611+343,ND,3.91,3.25,0.51,
RDV31,2002-01-16,X-band,1334-127,D,3.87,2.53,0.73,
RDV20,2000-03-13,X-band,1611+343,ND,3.86,3.49,0.43,1773.76
RDV6,1997-12-17,X-band,1611+343,ND,3.85,2.93,0.58,
RDV8,1998-04-15,X-band,1611+343,ND,3.84,2.86,0.56,
RDV1,1997-01-30,X-band,1334-127,D,3.83,2.54,0.74,
RDV12,1998-12-21,X-band,1611+343,ND,3.79,3.21,0.54,
RDV9,1998-06-24,X-band,1611+343,ND,3.76,3.05,0.58,
