Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
RDV65,2007-08-01,X-band,0528+134,ND,3.59,3.53,0.45,
RDV70,2008-07-09,X-band,0642+449,ND,3.58,2.11,0.65,3354.12
RDV82,2010-10-13,X-band,0607-157,D,3.56,3.21,0.36,3105.95
RDV71,2008-09-03,X-band,0552+398,D,3.53,2.94,0.42,
RDV31,2002-01-16,X-band,0607-157,D,3.53,2.33,0.71,
RDV69,2008-05-14,X-band,0537-441,ND,3.52,2.63,0.76,
RDV90,2011-12-20,X-band,0552+398,D,3.52,2.77,0.34,1909.34
RDV3,1997-05-19,X-band,0528+134,ND,3.5,2.51,0.57,
RDV20,2000-03-13,X-band,0528+134,ND,3.46,2.34,0.73,3273.23
RDV72,2008-12-17,X-band,0537-441,ND,3.46,2.01,0.54,725.63
RDV65,2007-08-01,X-band,0642+449,ND,3.43,1.72,0.71,
RDV67,2008-01-23,X-band,0607-157,D,3.42,2.43,0.58,
RDV69,2008-05-14,X-band,0642+449,ND,3.42,1.8,0.66,
RDV63,2007-06-26,X-band,0454-234,D,3.39,2.36,0.72,
RDV62,2007-03-27,X-band,0528+134,ND,3.38,2.56,0.51,4895.2
RDV45,2004-07-14,X-band,0402-362,D,3.36,1.29,0.81,
RDV4,1997-07-24,X-band,0528+134,ND,3.36,2.34,0.49,
RDV72,2008-12-17,X-band,0552+398,D,3.36,2.48,0.44,2709.54
RDV68,2008-04-02,X-band,0528+134,ND,3.35,3.14,0.4,3617.98
RDV9,1998-06-24,X-band,0528+134,ND,3.34,2.2,0.56,
RDV75,2009-05-13,X-band,0642+449,ND,3.34,1.35,0.65,
RDV59,2006-09-13,X-band,0607-157,D,3.26,2.27,0.66,
RDV67,2008-01-23,X-band,0642+449,ND,3.26,1.86,0.42,
RDV62,2007-03-27,X-band,0642+449,ND,3.25,2.93,0.58,3990.52
RDV10,1998-08-10,X-band,0528+134,ND,3.24,2.51,0.58,
RDV31,2002-01-16,X-band,0454-234,D,3.21,0.81,0.91,
RDV69,2008-05-14,X-band,0528+134,ND,3.21,3.26,0.32,
RDV57,2006-07-11,X-band,0552+398,D,3.19,2.81,0.44,
RDV51,2005-06-29,X-band,0552+398,D,3.18,3.58,0.56,636.99
RDV66,2007-12-05,X-band,0642+449,ND,3.18,1.98,0.68,6714.39
RDV68,2008-04-02,X-band,0642+449,ND,3.17,2.09,0.65,3458.63
RDV5,1997-09-08,X-band,0528+134,ND,3.16,2.81,0.39,
RDV57,2006-07-11,X-band,0528+134,ND,3.13,2.43,0.55,
RV104,2014-04-01,X-band,0537-441,ND,3.13,2.18,0.7,2969.78
RV106,2014-09-03,X-band,0552+398,D,3.11,3.01,0.32,2361.06
RDV71,2008-09-03,X-band,0607-157,D,3.11,2.18,0.7,
RDV10,1998-08-10,X-band,0420-014,ND,3.1,1.72,0.79,
RV124,2017-07-17,X-band,0552+398,D,3.09,3.37,0.36,2325.37
RDV66,2007-12-05,X-band,0607-157,D,3.08,2.51,0.69,3698.92
RDV57,2006-07-11,X-band,0642+449,ND,3.07,2.06,0.59,
RDV31,2002-01-16,X-band,0642+449,ND,3.04,1.29,0.67,
RDV7,1998-02-09,X-band,0430+052,ND,2.99,4.5,0.23,
RDV59,2006-09-13,X-band,0552+398,D,2.99,2.87,0.34,
RV114,2015-12-02,X-band,0552+398,D,2.95,3.13,0.29,1370.32
RDV71,2008-09-03,X-band,0642+449,ND,2.93,1.8,0.65,
RDV61,2007-01-24,X-band,0552+398,D,2.92,2.85,0.49,
RDV20,2000-03-13,X-band,0430+052,ND,2.91,4.5,0.16,1060.78
RDV45,2004-07-14,X-band,0528+134,ND,2.91,1.95,0.73,
RDV69,2008-05-14,X-band,0607-157,D,2.9,3.23,0.49,
RDV20,2000-03-13,X-band,0642+449,ND,2.9,1.64,0.71,3234.61
RDV64,2007-07-10,X-band,0607-157,D,2.88,2.27,0.77,4136.36
RDV68,2008-04-02,X-band,0607-157,D,2.85,2.5,0.62,2732.58
RDV63,2007-06-26,X-band,0607-157,D,2.85,1.41,0.62,
RDV72,2008-12-17,X-band,0607-157,D,2.83,2.06,0.74,3037.09
RDV65,2007-08-01,X-band,0607-157,D,2.8,1.68,0.69,
RDV63,2007-06-26,X-band,0537-441,ND,2.78,1.35,0.87,
RDV1,1997-01-30,X-band,0537-441,ND,2.78,3.32,0.59,
RDV72,2008-12-17,X-band,0420-014,ND,2.76,2.23,0.75,3073.35
RDV42,2003-12-17,X-band,0528+134,ND,2.76,2.43,0.58,4652.97
RDV8,1998-04-15,X-band,0528+134,ND,2.76,2.96,0.5,
BL115C,2004-02-15,X-band,0528+134,ND,2.75,1.76,0.66,
RDV4,1997-07-24,X-band,0430+052,ND,2.73,4.04,0.27,
RDV26,2001-03-12,X-band,0528+134,ND,2.72,2.34,0.67,3254.95
RDV51,2005-06-29,X-band,0528+134,ND,2.7,2.25,0.7,3066.62
RDV86,2011-04-05,X-band,0642+449,ND,2.7,2.46,0.61,4103.35
RDV42,2003-12-17,X-band,0402-362,D,2.69,2.33,0.74,3649.34
RDV12,1998-12-21,X-band,0528+134,ND,2.66,2.33,0.6,
RDV62,2007-03-27,X-band,0607-157,D,2.66,2.29,0.82,5370.04
RDV8,1998-04-15,X-band,0430+052,ND,2.61,4.36,0.41,
RDV61,2007-01-24,X-band,0642+449,ND,2.61,1.92,0.56,
RDV59,2006-09-13,X-band,0454-234,D,2.6,2.33,0.63,
RDV74,2009-04-21,X-band,0528+134,ND,2.59,3.41,0.43,1790.72
RDV57,2006-07-11,X-band,0454-234,D,2.58,3.94,0.53,
RDV42,2003-12-17,X-band,0430+052,ND,2.57,4.15,0.32,1543.68
RDV61,2007-01-24,X-band,0454-234,D,2.56,1.92,0.81,
RDV70,2008-07-09,X-band,0607-157,D,2.56,2.56,0.78,3543.36
RDV42,2003-12-17,X-band,0454-234,D,2.53,2.96,0.59,2885.02
RV124,2017-07-17,X-band,0458-020,D,2.52,2.43,0.69,2483.23
RDV12,1998-12-21,X-band,0642+449,ND,2.52,0.81,0.76,
RDV6,1997-12-17,X-band,0430+052,ND,2.51,4.36,0.3,
RDV61,2007-01-24,X-band,0528+134,ND,2.48,2.71,0.57,
RDV4,1997-07-24,X-band,0537-441,ND,2.48,3.25,0.53,
RDV2,1997-03-31,X-band,0430+052,ND,2.47,3.87,0.33,
RDV59,2006-09-13,X-band,0528+134,ND,2.47,2.48,0.55,
RDV3,1997-05-19,X-band,0430+052,ND,2.46,4.02,0.24,
RDV8,1998-04-15,X-band,0454-234,D,2.45,0.69,0.77,
RDV2,1997-03-31,X-band,0537-441,ND,2.43,2.76,0.59,
RDV3,1997-05-19,X-band,0537-441,ND,2.43,3.37,0.47,
RDV6,1997-12-17,X-band,0528+134,ND,2.42,2.96,0.33,
RDV9,1998-06-24,X-band,0642+449,ND,2.41,1.23,0.76,
RDV9,1998-06-24,X-band,0454-234,D,2.37,1.23,0.77,
RDV10,1998-08-10,X-band,0642+449,ND,2.36,0.69,0.75,
RDV1,1997-01-30,X-band,0430+052,ND,2.35,4,0.29,
RDV70,2008-07-09,X-band,0528+134,ND,2.34,2.87,0.72,2500.04
RV112,2015-07-15,X-band,0642+449,ND,2.34,3.21,0.41,2699.68
RV122,2017-04-25,X-band,0458-020,D,2.32,2.58,0.63,3658.66
RDV7,1998-02-09,X-band,0528+134,ND,2.32,3.31,0.37,
RDV42,2003-12-17,X-band,0537-441,ND,2.31,3.07,0.6,620.43
RDV10,1998-08-10,X-band,0454-234,D,2.29,1.16,0.76,
RDV68,2008-04-02,X-band,0430+052,ND,2.25,4.08,0.24,771.16
RV114,2015-12-02,X-band,0537-441,ND,2.24,2.85,0.71,914.61
RDV5,1997-09-08,X-band,0454-234,D,2.23,0.69,0.75,
RDV2,1997-03-31,X-band,0402-362,D,2.22,1.95,0.73,
RDV66,2007-12-05,X-band,0454-234,D,2.2,2.18,0.84,3356.4
RDV8,1998-04-15,X-band,0642+449,ND,2.19,1.08,0.75,
RV120,2016-11-30,X-band,0430+052,ND,2.17,3.62,0.35,1125.07
BL115C,2004-02-15,X-band,0446+112,ND,2.15,1.8,0.74,
BR945,1994-07-08,X-band,0430+052,ND,2.14,4.39,0.17,
BR945,1994-07-08,X-band,0420-014,ND,2.1,3.59,0.39,
RDV26,2001-03-12,X-band,0430+052,ND,2.09,4.85,0.21,721.22
RV120,2016-11-30,X-band,0454-234,D,2.09,2.42,0.56,2955.2
RDV7,1998-02-09,X-band,0454-234,D,2.08,1.23,0.82,
RDV6,1997-12-17,X-band,0642+449,ND,2.06,1.16,0.74,
RDV45,2004-07-14,X-band,0454-234,D,2.05,1.6,0.67,
RDV6,1997-12-17,X-band,0454-234,D,2.05,0.91,0.87,
RDV4,1997-07-24,X-band,0454-234,D,2.03,1.16,0.88,
RV122,2017-04-25,X-band,0454-234,D,2.02,2.51,0.68,5533.21
RDV5,1997-09-08,X-band,0642+449,ND,2.01,0.56,0.74,
RDV5,1997-09-08,X-band,0537-441,ND,2,3.65,0.53,
RDV1,1997-01-30,X-band,0402-362,D,1.98,1.8,0.88,
RDV98,2013-04-10,X-band,0537-441,ND,1.98,2.98,0.56,1687.22
RDV7,1998-02-09,X-band,0642+449,ND,1.98,1.16,0.76,
BL115C,2004-02-15,X-band,0454-234,D,1.96,1.76,0.62,
RDV68,2008-04-02,X-band,0454-234,D,1.96,2.57,0.54,4094.5
RDV12,1998-12-21,X-band,0454-234,D,1.96,1.35,0.68,
RDV31,2002-01-16,X-band,0528+134,ND,1.96,1.86,0.69,
RV102,2013-12-11,X-band,0642+449,ND,1.96,3.94,0.41,2189.4
RDV4,1997-07-24,X-band,0642+449,ND,1.95,0.91,0.74,
RDV74,2009-04-21,X-band,0400+258,ND,1.93,2.84,0.57,2559.87
RDV6,1997-12-17,X-band,0405-385,ND,1.93,1.86,0.86,
RDV31,2002-01-16,X-band,0430+052,ND,1.93,4.76,0.19,
BL122B,2005-08-26,X-band,0454-234,D,1.91,2.25,0.58,
RDG953,1995-10-02,X-band,0458-020,D,1.91,2.43,0.73,
RDV78,2009-12-02,X-band,0426-380,ND,1.88,2.18,0.83,3043.92
VABF12,1995-10-12,X-band,0642+449,ND,1.88,1,0.86,
RDV2,1997-03-31,X-band,0642+449,ND,1.86,1.64,0.74,
RDV62,2007-03-27,X-band,0537-441,ND,1.84,2.69,0.8,602.12
RV114,2015-12-02,X-band,0458-020,D,1.83,2.5,0.75,3292.52
RDV3,1997-05-19,X-band,0454-234,D,1.81,1.95,0.86,
RDV9,1998-06-24,X-band,0537-441,ND,1.81,2.85,0.63,
RDV5,1997-09-08,X-band,0402-362,D,1.79,2.5,0.6,
RDV4,1997-07-24,X-band,0402-362,D,1.78,1.46,0.88,
RDV3,1997-05-19,X-band,0642+449,ND,1.78,1.6,0.76,
RDV3,1997-05-19,X-band,0402-362,D,1.77,1.98,0.81,
RDV2,1997-03-31,X-band,0454-234,D,1.71,1.29,0.87,
RDV62,2007-03-27,X-band,0420+417,ND,1.7,2.71,0.65,2415.24
B9725B,1997-01-11,X-band,0605-085,D,1.7,3.19,0.47,
RDV7,1998-02-09,X-band,0537-441,ND,1.69,3.97,0.46,
RDV77,2009-10-07,X-band,0454-234,D,1.68,2.54,0.45,
RDV57,2006-07-11,X-band,0537-441,ND,1.68,3.4,0.34,
RDV1,1997-01-30,X-band,0642+449,ND,1.68,1.29,0.75,
RDV9,1998-06-24,X-band,0402-362,D,1.65,3.15,0.51,
RDV61,2007-01-24,X-band,0537-441,ND,1.64,3.01,0.44,
RDV78,2009-12-02,X-band,0454-234,D,1.63,2.94,0.49,2798.29
BR945,1994-07-08,X-band,0454-234,D,1.61,2.77,0.61,
RDV68,2008-04-02,X-band,0657+172,D,1.61,2.18,0.88,2326.11
RDV72,2008-12-17,X-band,0454-234,D,1.59,2.67,0.61,2037.74
RDV8,1998-04-15,X-band,0537-441,ND,1.56,2.92,0.71,
RDV80,2010-08-04,X-band,0528+134,ND,1.55,3.38,0.35,1302.49
RDV8,1998-04-15,X-band,0402-362,D,1.53,2.31,0.61,
RDV26,2001-03-12,X-band,0454-234,D,1.5,2.65,0.68,2120.4
RDV12,1998-12-21,X-band,0402-362,D,1.49,2.18,0.69,
RDV10,1998-08-10,X-band,0402-362,D,1.49,2.38,0.9,
RDV8,1998-04-15,X-band,0405-385,ND,1.46,1.83,0.79,
RDV6,1997-12-17,X-band,0402-362,D,1.45,2.58,0.72,
RDV73,2009-01-21,X-band,0454-234,D,1.41,3.47,0.5,
RDV1,1997-01-30,X-band,0454-234,D,1.4,1.46,0.81,
RV104,2014-04-01,X-band,0402-362,D,1.39,1.35,0.97,2399.56
RV120,2016-11-30,X-band,0405-385,ND,1.39,2.64,0.78,2855.07
RDV75,2009-05-13,X-band,0420+417,ND,1.39,2.81,0.6,
RDV67,2008-01-23,X-band,0405-385,ND,1.37,3.14,0.43,
RDV59,2006-09-13,X-band,0446+112,ND,1.37,1.95,0.64,
RDV20,2000-03-13,X-band,0454-234,D,1.37,2.38,0.7,2649.14
RDV45,2004-07-14,X-band,0458-020,D,1.35,2.4,0.83,
RDV64,2007-07-10,X-band,0405-385,ND,1.34,3.01,0.5,2559.9
RDV68,2008-04-02,X-band,0420+417,ND,1.34,3.23,0.57,1884.45
RDV66,2007-12-05,X-band,0405-385,ND,1.33,1.51,0.97,3797.61
RDV67,2008-01-23,X-band,0400+258,ND,1.32,3.37,0.55,
RDV86,2011-04-05,X-band,0454-234,D,1.31,2.45,0.75,2199.85
RDV59,2006-09-13,X-band,0537-441,ND,1.29,2.85,0.71,
RDV90,2011-12-20,X-band,0454-234,D,1.28,2.76,0.73,1548.06
RDV63,2007-06-26,X-band,0405-385,ND,1.27,1.8,0.6,
RDV71,2008-09-03,X-band,0405-385,ND,1.27,4.08,0.29,
RV112,2015-07-15,X-band,0700-197,D,1.27,3.24,0.61,2245.21
RDV72,2008-12-17,X-band,0657+172,D,1.23,2.38,0.87,1615.8
RDV80,2010-08-04,X-band,0405-385,ND,1.21,3,0.5,2210.4
RV106,2014-09-03,X-band,0402-362,D,1.19,2.06,0.94,4012.62
BL122B,2005-08-26,X-band,0458-020,D,1.19,2.06,0.81,
RDV75,2009-05-13,X-band,0657+172,D,1.19,1,0.65,
RDV51,2005-06-29,X-band,0458-020,D,1.18,2.6,0.79,2049.3
BL115C,2004-02-15,X-band,0458-020,D,1.14,1.86,0.85,
RV100,2013-07-24,X-band,0657+172,D,1.14,2.46,0.67,2460.77
RDV42,2003-12-17,X-band,0458-020,D,1.13,3.07,0.7,1076.68
RDV65,2007-08-01,X-band,0405-385,ND,1.12,2.56,0.69,
RDV77,2009-10-07,X-band,0657+172,D,1.12,1.89,0.58,
RDV26,2001-03-12,X-band,0420+417,ND,1.11,3.07,0.56,1074.26
RDV96,2012-12-05,X-band,0529+483,D,1.11,2.16,0.84,3102.22
RDV5,1997-09-08,X-band,0458-020,D,1.05,2.71,0.59,
RDV8,1998-04-15,X-band,0406+121,ND,1.04,3.59,0.42,
RDV57,2006-07-11,X-band,0605-085,D,1.03,3.38,0.64,
RV112,2015-07-15,X-band,0446+112,ND,1.02,2.23,0.8,2448.87
RDV26,2001-03-12,X-band,0657+172,D,1.01,2.67,0.69,1324.94
RV108,2014-12-03,X-band,0700-197,D,1.01,2.89,0.68,1694.72
RDV31,2002-01-16,X-band,0402-362,D,1,2.18,0.79,
RDV90,2011-12-20,X-band,0446+112,ND,1,2.38,0.76,2108.67
RV104,2014-04-01,X-band,0528+134,ND,1,3.19,0.62,1266.71
RDV96,2012-12-05,X-band,0458-020,D,0.99,2.36,0.75,2428.88
RDV2,1997-03-31,X-band,0458-020,D,0.99,2.86,0.61,
RDV1,1997-01-30,X-band,0458-020,D,0.98,2.71,0.65,
RDV4,1997-07-24,X-band,0458-020,D,0.98,2.64,0.65,
RV100,2013-07-24,X-band,0422-380,ND,0.97,1.95,0.87,3264.51
RDV12,1998-12-21,X-band,0646-306,D,0.97,2.61,0.6,
RDV88,2011-08-02,X-band,0420+022,D,0.97,2.57,0.72,1586.47
RDV94,2012-08-22,X-band,0529+483,D,0.97,2.18,0.79,2394.19
RDV10,1998-08-10,X-band,0458-020,D,0.96,2.56,0.68,
BR945,1994-07-08,X-band,0646-306,D,0.96,2.29,0.77,
RDV84,2010-12-07,X-band,0414-189,ND,0.95,2.45,0.75,2153.3
RV104,2014-04-01,X-band,0657+172,D,0.95,2.9,0.63,1314.18
RDV74,2009-04-21,X-band,0420+022,D,0.94,2.57,0.61,1750.03
RDV9,1998-06-24,X-band,0458-020,D,0.93,2.53,0.71,
RDV77,2009-10-07,X-band,0529+483,D,0.93,2.11,0.81,
RDV76,2009-07-29,X-band,0405-123,ND,0.92,3.07,0.58,1783.1
BL122B,2005-08-26,X-band,0400+258,ND,0.91,2.56,0.75,
RDV57,2006-07-11,X-band,0400+258,ND,0.91,2.75,0.74,
RDV6,1997-12-17,X-band,0458-020,D,0.91,2.45,0.67,
RDV62,2007-03-27,X-band,0458-020,D,0.9,2.67,0.77,2188.41
RDV79,2010-06-23,X-band,0529+483,D,0.9,1.51,0.83,
B9725B,1997-01-11,X-band,0458-020,D,0.89,2.61,0.66,
RDV80,2010-08-04,X-band,0458-020,D,0.89,2.23,0.86,2946.53
RV102,2013-12-11,X-band,0646-306,D,0.89,2.4,0.95,4882.13
RDV64,2007-07-10,X-band,0458-020,D,0.88,2.73,0.76,1609.1
RDV31,2002-01-16,X-band,0458-020,D,0.88,2.25,0.79,
RDV7,1998-02-09,X-band,0458-020,D,0.88,2.58,0.66,
RDV3,1997-05-19,X-band,0458-020,D,0.88,2.81,0.65,
RDV57,2006-07-11,X-band,0458-020,D,0.87,2.92,0.72,
RDV8,1998-04-15,X-band,0458-020,D,0.87,2.43,0.75,
RDV26,2001-03-12,X-band,0642+449,ND,0.86,2.87,0.62,3146.12
BL122B,2005-08-26,X-band,0601+245,ND,0.86,3.12,0.41,
RDV88,2011-08-02,X-band,0414-189,ND,0.85,2.5,0.75,1838.82
RDV61,2007-01-24,X-band,0657+172,D,0.85,1.86,0.78,
VABF12,1995-10-12,X-band,0657+172,D,0.84,2.01,0.84,
RDV51,2005-06-29,X-band,0405-385,ND,0.82,2.58,0.73,2730.45
RDV84,2010-12-07,X-band,0420+022,D,0.82,2.6,0.62,2073.68
RV118,2016-07-06,X-band,0422-380,ND,0.81,3.92,0.31,987.1
RDV69,2008-05-14,X-band,0446+112,ND,0.81,3.83,0.37,
RDV69,2008-05-14,X-band,0458-020,D,0.81,2.11,0.88,
RDV63,2007-06-26,X-band,0458-020,D,0.8,2.18,0.92,
RDV20,2000-03-13,X-band,0402-362,D,0.79,2.77,0.67,2544.47
B9725B,1997-01-11,X-band,0414-189,ND,0.79,1.23,0.84,
RDV66,2007-12-05,X-band,0458-020,D,0.79,2.87,0.74,1344.3
RV116,2016-02-09,X-band,0657+172,D,0.79,3.18,0.46,1204.49
RDV76,2009-07-29,X-band,0422+004,ND,0.78,2.8,0.63,1481.48
RDV65,2007-08-01,X-band,0458-020,D,0.78,2.63,0.76,
RV116,2016-02-09,X-band,0405-385,ND,0.77,3.13,0.81,883.17
RDV59,2006-09-13,X-band,0458-020,D,0.77,2.58,0.74,
RDV75,2009-05-13,X-band,0422-380,ND,0.76,4.12,0.43,
RDV20,2000-03-13,X-band,0458-020,D,0.76,2.8,0.79,1435.07
BL122B,2005-08-26,X-band,0506+056,ND,0.76,2.29,0.75,
RDV61,2007-01-24,X-band,0605-085,D,0.75,3.6,0.51,
RV120,2016-11-30,X-band,0657+172,D,0.75,3.09,0.54,1125.3
BR9525,1995-04-12,X-band,0400+258,ND,0.74,3.41,0.47,
RDV64,2007-07-10,X-band,0422-380,ND,0.74,3.21,0.6,1359.14
RDV78,2009-12-02,X-band,0422+004,ND,0.74,2.85,0.6,1715.37
RV100,2013-07-24,X-band,0646-306,D,0.74,2.6,0.92,2349.7
RDV62,2007-03-27,X-band,0405-123,ND,0.73,3.39,0.45,1449.4
RDV73,2009-01-21,X-band,0420+022,D,0.73,1.92,0.71,
RDV69,2008-05-14,X-band,0434-188,ND,0.72,3.43,0.5,
RDV26,2001-03-12,X-band,0458-020,D,0.72,2.92,0.78,1136.28
RDV62,2007-03-27,X-band,0402-362,D,0.71,3.03,0.62,1696.94
RDV59,2006-09-13,X-band,0405-385,ND,0.71,2.77,0.81,
RDV73,2009-01-21,X-band,0405-123,ND,0.71,3.2,0.49,
BR9525,1995-04-12,X-band,0422+004,ND,0.71,2.31,0.75,
RDV80,2010-08-04,X-band,0403-132,D,0.7,2.77,0.8,1557.96
RDV77,2009-10-07,X-band,0446+112,ND,0.7,2.16,0.61,
RDV68,2008-04-02,X-band,0458-020,D,0.7,2.76,0.8,1860.27
RDV26,2001-03-12,X-band,0402-362,D,0.69,3.17,0.6,1484.38
RDV71,2008-09-03,X-band,0458-020,D,0.69,2.45,0.77,
RDV65,2007-08-01,X-band,0506+101,D,0.69,2.09,0.85,
BL122B,2005-08-26,X-band,0507+179,D,0.69,2.93,0.69,
VABF12,1995-10-12,X-band,0406+121,ND,0.68,1.95,0.53,
RDV65,2007-08-01,X-band,0434-188,ND,0.68,2.86,0.64,
RDV61,2007-01-24,X-band,0458-020,D,0.68,2.7,0.81,
B9725B,1997-01-11,X-band,0403-132,D,0.67,0.56,0.97,
RDV20,2000-03-13,X-band,0405-123,ND,0.67,2.87,0.71,2151.03
RDV68,2008-04-02,X-band,0414-189,ND,0.67,2.16,0.91,3657.41
BR9525,1995-04-12,X-band,0507+179,D,0.66,2.96,0.59,
RV118,2016-07-06,X-band,0646-306,D,0.66,3.07,0.68,1263.58
RDV86,2011-04-05,X-band,0656+082,ND,0.66,2.85,0.72,1505.01
B9725A,1997-01-10,X-band,0420+417,ND,0.65,4.02,0.36,
RDV51,2005-06-29,X-band,0434-188,ND,0.65,3.27,0.65,1898.14
RDV20,2000-03-13,X-band,0507+179,D,0.65,2.92,0.66,1409.16
