Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
RDV79,2010-06-23,X-band,0537-441,ND,7.26,3.18,0.57,
RDG953,1995-10-02,X-band,0528+134,ND,7,1.98,0.82,
RDV80,2010-08-04,X-band,0537-441,ND,6.88,1.76,0.66,11134.7
RDV86,2011-04-05,X-band,0537-441,ND,6.57,2.23,0.7,2101.25
RDV88,2011-08-02,X-band,0537-441,ND,6.57,2.43,0.62,10732.22
RDV45,2004-07-14,X-band,0607-157,D,6.47,1.51,0.69,
BR945,1994-07-08,X-band,0552+398,D,6.12,2.71,0.5,
RDV77,2009-10-07,X-band,0420-014,ND,6.02,1.51,0.69,
RDV82,2010-10-13,X-band,0537-441,ND,6.02,2.06,0.77,3783.73
BR9525,1995-04-12,X-band,0552+398,D,5.62,2.7,0.47,
RDV9,1998-06-24,X-band,0552+398,D,5.51,2.54,0.48,
RDV5,1997-09-08,X-band,0552+398,D,5.48,2.2,0.46,
RDV2,1997-03-31,X-band,0552+398,D,5.34,2.23,0.49,
VABF12,1995-10-12,X-band,0552+398,D,5.28,2.5,0.56,
RDV4,1997-07-24,X-band,0552+398,D,5.27,1.83,0.46,
RDV76,2009-07-29,X-band,0537-441,ND,5.24,1.98,0.76,7687.61
RDV8,1998-04-15,X-band,0552+398,D,5.24,2.36,0.46,
RDV10,1998-08-10,X-band,0552+398,D,5.15,2.14,0.47,
RDV31,2002-01-16,X-band,0537-441,ND,5.14,2.27,0.68,
RDV26,2001-03-12,X-band,0552+398,D,5.07,2.4,0.41,2406.8
RDV12,1998-12-21,X-band,0552+398,D,5.06,2.43,0.5,
RDV6,1997-12-17,X-band,0552+398,D,5.06,2.09,0.47,
RDV66,2007-12-05,X-band,0537-441,ND,5.04,0.69,0.98,7180.06
RDV20,2000-03-13,X-band,0552+398,D,5.03,2.23,0.5,2880.08
RDV75,2009-05-13,X-band,0537-441,ND,4.97,2.64,0.47,
RDV1,1997-01-30,X-band,0552+398,D,4.9,2.06,0.49,
RDG953,1995-10-02,X-band,0537-441,ND,4.89,3.32,0.65,
RDV3,1997-05-19,X-band,0552+398,D,4.84,2.25,0.51,
RDV76,2009-07-29,X-band,0607-157,D,4.83,2.09,0.62,5493.57
RDV7,1998-02-09,X-band,0552+398,D,4.82,2.04,0.49,
RDV75,2009-05-13,X-band,0607-157,D,4.74,2.11,0.66,
RDV65,2007-08-01,X-band,0537-441,ND,4.72,1.35,0.82,
RDV78,2009-12-02,X-band,0537-441,ND,4.55,2.27,0.74,4627.19
BL115C,2004-02-15,X-band,0607-157,D,4.48,1.51,0.82,
RDV82,2010-10-13,X-band,0420-014,ND,4.44,2.33,0.6,5068.56
B9725A,1997-01-10,X-band,0552+398,D,4.44,2.18,0.59,
RDV1,1997-01-30,X-band,0528+134,ND,4.42,2.38,0.67,
RDV70,2008-07-09,X-band,0552+398,D,4.42,2.75,0.4,2930.97
B9725B,1997-01-11,X-band,0552+398,D,4.39,2.71,0.58,
RDV70,2008-07-09,X-band,0420-014,ND,4.33,2.16,0.75,3630.7
RDV31,2002-01-16,X-band,0552+398,D,4.33,2.45,0.42,
RDV86,2011-04-05,X-band,0420-014,ND,4.32,2.42,0.64,5308.07
RDV92,2012-04-18,X-band,0420-014,ND,4.31,2.95,0.6,8703.79
RDV42,2003-12-17,X-band,0552+398,D,4.31,2.85,0.41,2377.87
RDV64,2007-07-10,X-band,0552+398,D,4.31,2.61,0.39,2602.87
RDV2,1997-03-31,X-band,0528+134,ND,4.29,2.45,0.57,
RDV45,2004-07-14,X-band,0537-441,ND,4.25,2.45,0.63,
RDV67,2008-01-23,X-band,0537-441,ND,4.25,1.68,0.79,
RDV12,1998-12-21,X-band,0430+052,ND,4.21,4.39,0.19,
RV116,2016-02-09,X-band,0454-234,D,4.2,1.56,0.69,7834.63
RDV51,2005-06-29,X-band,0537-441,ND,4.18,2.4,0.74,2700.14
RDV90,2011-12-20,X-band,0537-441,ND,4.13,3.17,0.5,1818.39
B9725A,1997-01-10,X-band,0607-157,D,4.1,1.98,0.82,
BL115C,2004-02-15,X-band,0552+398,D,4.05,3.11,0.5,
BL122B,2005-08-26,X-band,0607-157,D,4.05,2.46,0.46,
RDV69,2008-05-14,X-band,0552+398,D,4.04,2.75,0.43,
RDV42,2003-12-17,X-band,0642+449,ND,4.01,1.68,0.69,3713.65
RDV68,2008-04-02,X-band,0552+398,D,3.98,2.67,0.4,2453.96
RDV92,2012-04-18,X-band,0552+398,D,3.98,2.92,0.29,2529.35
RDV51,2005-06-29,X-band,0607-157,D,3.94,2.87,0.59,2179.22
RDV10,1998-08-10,X-band,0430+052,ND,3.93,4.05,0.29,
RDV62,2007-03-27,X-band,0552+398,D,3.93,2.54,0.43,2941.5
RDV67,2008-01-23,X-band,0552+398,D,3.91,2.9,0.42,
RDV77,2009-10-07,X-band,0537-441,ND,3.9,2.4,0.75,
RDV66,2007-12-05,X-band,0552+398,D,3.89,2.71,0.49,3228.34
BL115C,2004-02-15,X-band,0642+449,ND,3.86,0.81,0.73,
B9725A,1997-01-10,X-band,0528+134,ND,3.82,1.8,0.69,
RDV67,2008-01-23,X-band,0528+134,ND,3.82,3.31,0.43,
RDV96,2012-12-05,X-band,0537-441,ND,3.75,2.81,0.56,4357.89
RDV64,2007-07-10,X-band,0420-014,ND,3.7,2.14,0.75,4387.36
RDV64,2007-07-10,X-band,0528+134,ND,3.7,3.38,0.47,6108.54
RDV9,1998-06-24,X-band,0430+052,ND,3.65,4.19,0.33,
RDV64,2007-07-10,X-band,0454-234,D,3.64,2.4,0.71,6876.66
RDV62,2007-03-27,X-band,0454-234,D,3.63,2.38,0.7,8306.27
RDV71,2008-09-03,X-band,0537-441,ND,3.6,1.8,0.81,
