Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
RV118,2016-07-06,X-band,0016+731,D,2.5,1.56,0.75,3578.08
RV122,2017-04-25,X-band,0016+731,D,2.07,1.68,0.75,3330.56
RDV5,1997-09-08,X-band,0048-097,D,1.52,0.2,0.93,
RDV12,1998-12-21,X-band,0048-097,D,1.41,0.69,0.9,
BE10A,1996-04-23,X-band,0048-097,D,1.39,0,0.96,
RV118,2016-07-06,X-band,0017+200,D,1.35,2.34,0.64,2305.62
RDV1,1997-01-30,X-band,0048-097,D,1.32,0,0.94,
B9725A,1997-01-10,X-band,0048-097,D,1.29,0,0.94,
RDV70,2008-07-09,X-band,0048-097,D,1.29,2.45,0.94,3067.45
RDV69,2008-05-14,X-band,0048-097,D,1.26,1.16,0.94,
RDV6,1997-12-17,X-band,0048-097,D,1.26,0,0.95,
RDV74,2009-04-21,X-band,0048-097,D,1.24,1.83,0.92,3101.8
RDV4,1997-07-24,X-band,0048-097,D,1.23,0.56,0.94,
RDV9,1998-06-24,X-band,0048-097,D,1.19,0,0.9,
RDV8,1998-04-15,X-band,0048-097,D,1.16,0,0.92,
RDV76,2009-07-29,X-band,0016+731,D,1.14,2.09,0.71,1814.06
RDV2,1997-03-31,X-band,0048-097,D,1.14,0.56,0.9,
BL122B,2005-08-26,X-band,0017+200,D,1.11,2.2,0.67,
VABF12,1995-10-12,X-band,0016+731,D,1.08,2.94,0.44,
RDV20,2000-03-13,X-band,0048-097,D,1.08,2.33,0.83,2039.86
BL115C,2004-02-15,X-band,0016+731,D,0.92,1.35,0.87,
RDV64,2007-07-10,X-band,0048-097,D,0.92,2.23,0.86,2301.54
RDV3,1997-05-19,X-band,0048-097,D,0.92,0.2,0.9,
RDV90,2011-12-20,X-band,0016+731,D,0.9,2.4,0.67,2828.55
RDV26,2001-03-12,X-band,0048-097,D,0.88,2.63,0.8,1425.12
RDV71,2008-09-03,X-band,0048-097,D,0.88,0.69,0.95,
RDV63,2007-06-26,X-band,0048-097,D,0.87,0.2,0.95,
RDV10,1998-08-10,X-band,0048-097,D,0.86,0.56,0.88,
RDV64,2007-07-10,X-band,0019+058,ND,0.84,2.33,0.8,2356.98
RDV67,2008-01-23,X-band,0048-097,D,0.84,0.4,0.86,
RDV7,1998-02-09,X-band,0048-097,D,0.84,0.2,0.92,
RDV59,2006-09-13,X-band,0048-097,D,0.78,1.16,0.85,
RDV57,2006-07-11,X-band,0048-097,D,0.77,3.49,0.69,
RDV61,2007-01-24,X-band,0048-097,D,0.74,1,0.91,
RDV31,2002-01-16,X-band,0048-097,D,0.7,1.16,0.81,
RDV51,2005-06-29,X-band,0048-097,D,0.61,2.45,0.89,1702.91
RDV42,2003-12-17,X-band,0048-097,D,0.59,2.88,0.85,1162.76
RDV45,2004-07-14,X-band,0048-097,D,0.59,1.35,0.85,
BL115C,2004-02-15,X-band,0048-097,D,0.56,1.51,0.87,
RDV66,2007-12-05,X-band,0048-097,D,0.56,2.89,0.87,1247.31
RDV96,2012-12-05,X-band,0048-097,D,0.55,2.85,0.89,1433.13
RV118,2016-07-06,X-band,0038-020,ND,0.53,3.36,0.53,2368.82
RDV90,2011-12-20,X-band,0048-097,D,0.51,2.01,0.96,3693.81
RDV86,2011-04-05,X-band,0048-097,D,0.5,1.76,0.95,4516.55
RV104,2014-04-01,X-band,0048-097,D,0.45,2.83,0.74,1345.94
RV100,2013-07-24,X-band,0038-020,ND,0.44,3.47,0.56,2250.33
RDV31,2002-01-16,X-band,0019+058,ND,0.41,0.69,0.84,
RV114,2015-12-02,X-band,0038-020,ND,0.41,3.21,0.54,2023.74
RDV94,2012-08-22,X-band,0019+058,ND,0.38,3.07,0.72,1101.82
RDV75,2009-05-13,X-band,0019+058,ND,0.37,1.08,0.77,
RV116,2016-02-09,X-band,0017+257,ND,0.34,2.78,0.69,2524.35
RDV72,2008-12-17,X-band,0019+058,ND,0.33,3.25,0.81,729.39
RV106,2014-09-03,X-band,0048-097,D,0.32,2.9,0.84,1079.47
RDV76,2009-07-29,X-band,0019+058,ND,0.31,2.91,0.79,1248.91
RV104,2014-04-01,X-band,0017+257,ND,0.26,3.3,0.59,1524.63
RV100,2013-07-24,X-band,0047+023,D,0.25,2.76,0.82,2375.44
RV114,2015-12-02,X-band,0055+060,ND,0.22,2.5,0.9,2482.89
RV118,2016-07-06,X-band,0047+023,D,0.19,2.88,0.76,1261.09
RDV79,2010-06-23,X-band,0047+023,D,0.18,2.67,0.58,
B9725A,1997-01-10,X-band,0019+058,ND,0.17,1.23,0.88,
RV112,2015-07-15,X-band,0047+023,D,0.17,2.96,0.76,1534.4
RDV78,2009-12-02,X-band,0047+023,D,0.16,3.34,0.55,1090.62
RV116,2016-02-09,X-band,0047+023,D,0.16,3.19,0.79,1158.28
RV120,2016-11-30,X-band,0047+023,D,0.16,3.24,0.75,812.29
RDV64,2007-07-10,X-band,0047+023,D,0.15,3.45,0.76,541.07
