Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
RDV2,1997-03-31,X-band,1638+398,ND,1.27,1.6,0.79,
RDV3,1997-05-19,X-band,1638+398,ND,1.27,0.91,0.85,
RDV26,2001-03-12,X-band,1622-253,ND,1.26,2.34,0.86,1981.25
RDV64,2007-07-10,X-band,1622-253,ND,1.23,2.56,0.62,3056.71
RDV72,2008-12-17,X-band,1622-253,ND,1.21,2.65,0.76,2245.07
B9725A,1997-01-10,X-band,1638+398,ND,1.21,0.4,0.96,
RDV6,1997-12-17,X-band,1638+398,ND,1.21,1,0.81,
RDV86,2011-04-05,X-band,1622-253,ND,1.17,2.76,0.63,2519.06
RDV7,1998-02-09,X-band,1638+398,ND,1.17,1.16,0.8,
RDV74,2009-04-21,X-band,1622-297,ND,1.15,3.38,0.53,1243.64
RDV12,1998-12-21,X-band,1638+398,ND,1.13,1.46,0.73,
RDV8,1998-04-15,X-band,1638+398,ND,1.12,1.35,0.69,
RDV63,2007-06-26,X-band,1622-253,ND,1.1,1.29,0.65,
RDV61,2007-01-24,X-band,1638+398,ND,1.06,0.81,0.88,
RDV10,1998-08-10,X-band,1638+398,ND,1.05,1.16,0.71,
RDV9,1998-06-24,X-band,1638+398,ND,1.05,1.41,0.79,
BE10A,1996-04-23,X-band,1638+398,ND,1.04,1.08,0.82,
RDV98,2013-04-10,X-band,1637+574,ND,1,3.2,0.56,1497.06
RDV78,2009-12-02,X-band,1638+398,ND,0.98,2.9,0.6,1304.35
RDV79,2010-06-23,X-band,1638+398,ND,0.97,1.16,0.77,
RDV70,2008-07-09,X-band,1622-297,ND,0.96,3.25,0.82,613.58
RDV65,2007-08-01,X-band,1622-253,ND,0.94,2.36,0.6,
RDV42,2003-12-17,X-band,1638+398,ND,0.93,2.94,0.54,1002.77
RV114,2015-12-02,X-band,1638+398,ND,0.91,2.74,0.56,1761.59
RDV3,1997-05-19,X-band,1622-253,ND,0.89,2.54,0.76,
RDV68,2008-04-02,X-band,1636+473,D,0.89,2.53,0.72,3096.67
BL115C,2004-02-15,X-band,1638+398,ND,0.87,1.6,0.69,
RDV57,2006-07-11,X-band,1638+398,ND,0.85,2.53,0.64,
RDV51,2005-06-29,X-band,1622-253,ND,0.81,2.84,0.56,2450.3
RDV74,2009-04-21,X-band,1638+398,ND,0.81,2.9,0.53,1266.36
RDV20,2000-03-13,X-band,1638+398,ND,0.79,1.98,0.58,2313.52
RDV76,2009-07-29,X-band,1638+398,ND,0.79,3.17,0.48,1148.44
RDV80,2010-08-04,X-band,1614+051,ND,0.78,2.98,0.63,2015.04
RDV75,2009-05-13,X-band,1614+051,ND,0.75,3.11,0.59,
RDV84,2010-12-07,X-band,1614+051,ND,0.73,3.43,0.55,1290.09
RV106,2014-09-03,X-band,1636+473,D,0.73,2.6,0.77,2638.12
RDV20,2000-03-13,X-band,1622-253,ND,0.72,2.89,0.59,1307.91
RDV51,2005-06-29,X-band,1638+398,ND,0.71,2.9,0.54,1132.59
RDV1,1997-01-30,X-band,1622-253,ND,0.69,2.65,0.67,
RV104,2014-04-01,X-band,1637+574,ND,0.68,4.06,0.24,777.94
RV108,2014-12-03,X-band,1636+473,D,0.66,2.78,0.74,1560.26
RDV70,2008-07-09,X-band,1614+051,ND,0.64,3.58,0.64,1292.36
BL122B,2005-08-26,X-band,1617+229,ND,0.64,2.2,0.52,
RDV92,2012-04-18,X-band,1636+473,D,0.63,2.9,0.57,1789.51
RV110,2015-03-25,X-band,1636+473,D,0.63,2.98,0.73,1548.78
RDV2,1997-03-31,X-band,1622-253,ND,0.61,2.83,0.57,
RDV26,2001-03-12,X-band,1638+398,ND,0.61,2.98,0.53,960.24
RDV75,2009-05-13,X-band,1617+229,ND,0.61,3.14,0.25,
RDV86,2011-04-05,X-band,1617+229,ND,0.6,3.48,0.4,1286.69
RDV88,2011-08-02,X-band,1617+229,ND,0.6,2.82,0.69,1763.22
RDV98,2013-04-10,X-band,1622-253,ND,0.59,3.78,0.37,967.56
B9725B,1997-01-11,X-band,1637+574,ND,0.59,2.95,0.37,
RDV77,2009-10-07,X-band,1617+229,ND,0.58,3.29,0.26,
RDV31,2002-01-16,X-band,1638+398,ND,0.57,1.8,0.61,
RDV82,2010-10-13,X-band,1617+229,ND,0.56,3.21,0.36,1076.55
RV122,2017-04-25,X-band,1617+229,ND,0.56,3.38,0.47,790.78
RDV94,2012-08-22,X-band,1617+229,ND,0.55,3.27,0.46,1471.19
B9725B,1997-01-11,X-band,1614+051,ND,0.54,2.99,0.68,
RDV84,2010-12-07,X-band,1617+229,ND,0.54,3.4,0.29,1008.92
RV100,2013-07-24,X-band,1617+229,ND,0.5,3.91,0.27,737.02
RDV79,2010-06-23,X-band,1617+229,ND,0.47,3.32,0.32,
