Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
RDV45,2004-07-14,X-band,1622-253,ND,2.78,1.41,0.71,
RDV57,2006-07-11,X-band,1622-253,ND,2.77,4.57,0.47,
RDV42,2003-12-17,X-band,1622-253,ND,2.6,2.34,0.83,2185.2
RDV6,1997-12-17,X-band,1622-253,ND,2.32,1.08,0.87,
RDV5,1997-09-08,X-band,1622-253,ND,2.31,1.86,0.79,
RDV12,1998-12-21,X-band,1622-253,ND,2.24,1.46,0.84,
RDV94,2012-08-22,X-band,1622-253,ND,2.18,2.5,0.66,3491.23
RDV9,1998-06-24,X-band,1622-253,ND,2.13,2.06,0.71,
RDV31,2002-01-16,X-band,1622-253,ND,2,1.23,0.71,
RDV79,2010-06-23,X-band,1622-253,ND,2,2.42,0.65,
RDV90,2011-12-20,X-band,1622-253,ND,1.99,3.13,0.65,1514.29
RDV8,1998-04-15,X-band,1622-253,ND,1.98,1.16,0.87,
RDV69,2008-05-14,X-band,1638+398,ND,1.93,1.46,0.66,
RDV4,1997-07-24,X-band,1622-253,ND,1.92,1.41,0.87,
RDV69,2008-05-14,X-band,1622-253,ND,1.85,1.92,0.85,
BR945,1994-07-08,X-band,1622-253,ND,1.8,1.56,0.77,
RDV7,1998-02-09,X-band,1622-253,ND,1.68,2.16,0.83,
RDV92,2012-04-18,X-band,1622-253,ND,1.62,2.78,0.49,3010.47
RDV10,1998-08-10,X-band,1622-253,ND,1.59,1.86,0.8,
RDV64,2007-07-10,X-band,1638+398,ND,1.56,1.98,0.72,3289.61
RDV68,2008-04-02,X-band,1637+574,ND,1.55,2.53,0.65,2251.41
RDV4,1997-07-24,X-band,1638+398,ND,1.53,1,0.84,
RDV80,2010-08-04,X-band,1638+398,ND,1.53,2.06,0.81,2439.69
RV106,2014-09-03,X-band,1622-253,ND,1.47,2.45,0.84,4032.52
RDV1,1997-01-30,X-band,1638+398,ND,1.46,1,0.84,
RDV71,2008-09-03,X-band,1622-253,ND,1.44,1.8,0.8,
RDV61,2007-01-24,X-band,1622-253,ND,1.43,0.56,0.83,
RDV67,2008-01-23,X-band,1622-253,ND,1.41,1.68,0.81,
BL115C,2004-02-15,X-band,1637+574,ND,1.4,1.89,0.68,
RDV72,2008-12-17,X-band,1637+574,ND,1.3,2.33,0.69,1892.59
RV112,2015-07-15,X-band,1637+574,ND,1.27,3.11,0.58,1447.98
