Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
BR9525,1995-04-12,X-band,2145+067,ND,9.66,2.65,0.59,
BR945,1994-07-08,X-band,2145+067,ND,8.92,2.86,0.61,
VABF12,1995-10-12,X-band,2145+067,ND,8.52,2.65,0.58,
RDV7,1998-02-09,X-band,2251+158,ND,8.37,3.15,0.44,
RDV26,2001-03-12,X-band,2145+067,ND,8.32,2.57,0.43,4049.18
RDV51,2005-06-29,X-band,2251+158,ND,7.87,3.73,0.48,1233.4
BL122B,2005-08-26,X-band,2251+158,ND,7.76,4.15,0.21,
RDV20,2000-03-13,X-band,2145+067,ND,7.66,2.86,0.44,3525.26
RDV45,2004-07-14,X-band,2145+067,ND,7.51,2.76,0.65,
RDV42,2003-12-17,X-band,2145+067,ND,7.36,3.21,0.38,2876.97
BL115C,2004-02-15,X-band,2145+067,ND,7.08,3.44,0.49,
RDV51,2005-06-29,X-band,2145+067,ND,7.02,3.52,0.49,3072.08
RDV5,1997-09-08,X-band,2145+067,ND,6.57,1.16,0.49,
RDV57,2006-07-11,X-band,2145+067,ND,6.34,2.96,0.43,
RDV2,1997-03-31,X-band,2145+067,ND,6.25,3.64,0.36,
RDV12,1998-12-21,X-band,2145+067,ND,6.19,2.91,0.31,
RDV4,1997-07-24,X-band,2145+067,ND,6.14,1.98,0.45,
RDV31,2002-01-16,X-band,2145+067,ND,6.09,3.35,0.37,
RDV59,2006-09-13,X-band,2145+067,ND,5.96,2.92,0.46,
RDV8,1998-04-15,X-band,2145+067,ND,5.84,2.8,0.29,
RDV7,1998-02-09,X-band,2145+067,ND,5.82,3.39,0.31,
RDV6,1997-12-17,X-band,2145+067,ND,5.82,2.96,0.36,
RDV9,1998-06-24,X-band,2145+067,ND,5.81,3.57,0.32,
RDV12,1998-12-21,X-band,2255-282,ND,5.76,1.6,0.8,
RDV1,1997-01-30,X-band,2145+067,ND,5.74,2.9,0.4,
RDV3,1997-05-19,X-band,2145+067,ND,5.65,2.46,0.36,
RDV66,2007-12-05,X-band,2145+067,ND,5.61,2.99,0.44,2796.82
RDV10,1998-08-10,X-band,2145+067,ND,5.61,3.42,0.29,
RDV26,2001-03-12,X-band,2223-052,ND,5.55,1.92,0.67,4687.84
RDV70,2008-07-09,X-band,2145+067,ND,5.48,3.2,0.44,4348.93
RDV70,2008-07-09,X-band,2223-052,ND,5.48,1.98,0.71,4202.18
RDV79,2010-06-23,X-band,2223-052,ND,5.39,1.83,0.67,
RDV20,2000-03-13,X-band,2223-052,ND,5.2,1.86,0.74,3878.14
B9725B,1997-01-11,X-band,2145+067,ND,5.14,1.92,0.48,
B9725A,1997-01-10,X-band,2145+067,ND,5.12,1.41,0.58,
RDV69,2008-05-14,X-band,2223-052,ND,5.07,1.8,0.7,
RDV31,2002-01-16,X-band,2223-052,ND,5.01,1.76,0.64,
RDV80,2010-08-04,X-band,2145+067,ND,4.98,2.86,0.37,4507.53
RDV4,1997-07-24,X-band,2255-282,ND,4.91,1.08,0.95,
RDV5,1997-09-08,X-band,2255-282,ND,4.84,1.46,0.93,
RDV66,2007-12-05,X-band,2251+158,ND,4.55,3.84,0.29,683.29
RDV7,1998-02-09,X-band,2255-282,ND,4.54,1.23,0.94,
RDV79,2010-06-23,X-band,2145+067,ND,4.44,2.86,0.37,
RDV62,2007-03-27,X-band,2223-052,ND,4.27,2.43,0.58,2924.87
RDV64,2007-07-10,X-band,2223-052,ND,4.23,2.64,0.62,3496.39
RDV6,1997-12-17,X-band,2255-282,ND,4.22,1.76,0.93,
RDV92,2012-04-18,X-band,2255-282,ND,4.09,1.92,0.71,8854.48
RDV20,2000-03-13,X-band,2200+420,ND,4.08,2.36,0.62,2681.08
RDV2,1997-03-31,X-band,2255-282,ND,4.08,1.23,0.94,
RDV66,2007-12-05,X-band,2223-052,ND,4.03,2.53,0.63,5837.21
RDV63,2007-06-26,X-band,2223-052,ND,4.03,2.06,0.65,
RDV3,1997-05-19,X-band,2255-282,ND,3.91,1,0.96,
RDV51,2005-06-29,X-band,2223-052,ND,3.88,2.71,0.71,1341.5
RDV6,1997-12-17,X-band,2200+420,ND,3.69,3.5,0.43,
RDV57,2006-07-11,X-band,2223-052,ND,3.69,2.77,0.65,
RDV1,1997-01-30,X-band,2255-282,ND,3.63,1.6,0.92,
RDV45,2004-07-14,X-band,2255-282,ND,3.61,2.61,0.86,
RDV96,2012-12-05,X-band,2255-282,ND,3.5,1.68,0.78,11091.99
