Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
RDV2,1997-03-31,X-band,0104-408,D,4.5,0,0.94,
RDV4,1997-07-24,X-band,0104-408,D,4.18,0.56,0.93,
RDV3,1997-05-19,X-band,0104-408,D,4.01,0.2,0.92,
RDV94,2012-08-22,X-band,0059+581,D,3.8,1.92,0.73,5977.5
RDV12,1998-12-21,X-band,0104-408,D,3.77,0,0.84,
RDV1,1997-01-30,X-band,0104-408,D,3.68,0.56,0.92,
RDV8,1998-04-15,X-band,0104-408,D,3.66,0.4,0.79,
RDV7,1998-02-09,X-band,0104-408,D,3.3,1.23,0.93,
RDV20,2000-03-13,X-band,0104-408,D,3.24,1.51,0.87,6492
RDV9,1998-06-24,X-band,0104-408,D,3.23,0.4,0.91,
RDV82,2010-10-13,X-band,0106+013,ND,3.23,1.76,0.73,6093.37
RDV67,2008-01-23,X-band,0104-408,D,3.19,2.83,0.65,
RDV6,1997-12-17,X-band,0104-408,D,3.18,0.2,0.94,
RDV62,2007-03-27,X-band,0104-408,D,3.05,1.41,0.94,5950.69
RV110,2015-03-25,X-band,0059+581,D,3.03,2.27,0.62,2479.42
RDV63,2007-06-26,X-band,0104-408,D,2.99,2.89,0.87,
RDV10,1998-08-10,X-band,0104-408,D,2.99,1.68,0.94,
RDV26,2001-03-12,X-band,0104-408,D,2.95,1.41,0.84,7190.12
RDV71,2008-09-03,X-band,0119+115,ND,2.9,0.4,0.97,
RV114,2015-12-02,X-band,0059+581,D,2.87,2.42,0.63,3407.37
RDV72,2008-12-17,X-band,0119+115,ND,2.84,1.56,0.89,4692.78
RDV69,2008-05-14,X-band,0119+115,ND,2.81,1.08,0.83,
RDV73,2009-01-21,X-band,0119+115,ND,2.8,0,0.77,
RDV66,2007-12-05,X-band,0104-408,D,2.74,1.8,0.87,5313.03
RDV64,2007-07-10,X-band,0104-408,D,2.72,2.01,0.91,6318.02
RDV42,2003-12-17,X-band,0059+581,D,2.67,1.8,0.63,3370.26
RDV8,1998-04-15,X-band,0059+581,D,2.49,0.69,0.81,
RDV9,1998-06-24,X-band,0059+581,D,2.47,1,0.82,
RDV68,2008-04-02,X-band,0104-408,D,2.39,1.41,0.97,2743.28
RDV59,2006-09-13,X-band,0059+581,D,2.32,1.35,0.82,
RDV62,2007-03-27,X-band,0059+581,D,2.29,2.11,0.71,3619.41
RDV59,2006-09-13,X-band,0104-408,D,2.24,0.4,0.87,
RDV57,2006-07-11,X-band,0059+581,D,2.21,1.41,0.87,
RDV63,2007-06-26,X-band,0059+581,D,2.19,2.09,0.74,
RDV7,1998-02-09,X-band,0059+581,D,2.17,0.81,0.85,
RDV2,1997-03-31,X-band,0059+581,D,2.16,0.81,0.85,
RDV1,1997-01-30,X-band,0059+581,D,2.11,0.81,0.92,
RDV64,2007-07-10,X-band,0059+581,D,2.1,2.11,0.76,4030.44
RDV10,1998-08-10,X-band,0059+581,D,2.1,1,0.75,
RDV66,2007-12-05,X-band,0119+115,ND,2.1,1.86,0.85,4277.76
RDV67,2008-01-23,X-band,0119+115,ND,1.97,1.29,0.75,
RDV75,2009-05-13,X-band,0104-408,D,1.95,2.34,0.81,
RDV69,2008-05-14,X-band,0104-408,D,1.94,3.36,0.8,
RDV62,2007-03-27,X-band,0119+115,ND,1.94,2.29,0.77,2859.02
RDV4,1997-07-24,X-band,0059+581,D,1.92,1.08,0.86,
RDV64,2007-07-10,X-band,0119+115,ND,1.88,2.31,0.76,3075.58
RDV74,2009-04-21,X-band,0059+581,D,1.85,1.64,0.86,3646.88
RDV86,2011-04-05,X-band,0059+581,D,1.85,1.51,0.87,7921.73
RDV65,2007-08-01,X-band,0059+581,D,1.79,1.95,0.71,
RDV6,1997-12-17,X-band,0059+581,D,1.79,0.56,0.82,
RDV31,2002-01-16,X-band,0104-408,D,1.77,1.35,0.71,
RDV20,2000-03-13,X-band,0119+115,ND,1.75,2.27,0.72,3183.53
RDV3,1997-05-19,X-band,0059+581,D,1.74,1,0.87,
RDV74,2009-04-21,X-band,0104-408,D,1.74,1.8,0.88,5122.81
RDV45,2004-07-14,X-band,0059+581,D,1.72,1.56,0.66,
RDV61,2007-01-24,X-band,0059+581,D,1.71,1.41,0.92,
RDV98,2013-04-10,X-band,0059+581,D,1.69,1.89,0.75,3188.1
RDV76,2009-07-29,X-band,0104-408,D,1.68,2.25,0.83,3061.1
