Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
BR945,1994-07-08,X-band,2134+004,ND,7.92,4.17,0.32,
RDV67,2008-01-23,X-band,2134+004,ND,7.91,4.1,0.38,
RDV62,2007-03-27,X-band,2134+004,ND,7.85,2.11,0.78,3527.12
RDV78,2009-12-02,X-band,2134+004,ND,7.59,3.73,0.47,2241.17
RDV68,2008-04-02,X-band,2134+004,ND,7.5,3.58,0.48,4319.16
RDV71,2008-09-03,X-band,2134+004,ND,6.96,4.15,0.43,
RDV42,2003-12-17,X-band,2134+004,ND,5.3,4.4,0.26,369.65
RDV61,2007-01-24,X-band,2134+004,ND,5.23,2.85,0.55,
RDV45,2004-07-14,X-band,2128-123,ND,3.52,3.99,0.32,
RDV8,1998-04-15,X-band,1954-388,D,3.48,1.76,0.87,
BL115C,2004-02-15,X-band,2121+053,ND,3.22,1.83,0.76,
RDV9,1998-06-24,X-band,1954-388,D,3.2,2.34,0.72,
RDV10,1998-08-10,X-band,1954-388,D,3.15,1.64,0.71,
RDV1,1997-01-30,X-band,1954-388,D,3.12,1.68,0.77,
RV108,2014-12-03,X-band,2037+511,ND,3.06,2.58,0.54,1877.86
RDV2,1997-03-31,X-band,1954-388,D,3.04,1.8,0.74,
RDV51,2005-06-29,X-band,2128-123,ND,3.04,4.07,0.61,1016.89
RV100,2013-07-24,X-band,2037+511,ND,3.02,2.69,0.63,3432.27
RDV86,2011-04-05,X-band,2136+141,ND,2.98,2.74,0.48,2361.66
RV118,2016-07-06,X-band,2037+511,ND,2.92,3.56,0.27,1613.37
RDV7,1998-02-09,X-band,1954-388,D,2.89,1.89,0.69,
RV124,2017-07-17,X-band,2037+511,ND,2.87,4.1,0.35,1256.71
BL115C,2004-02-15,X-band,2136+141,ND,2.86,2.42,0.56,
RDV5,1997-09-08,X-band,1954-388,D,2.76,2.71,0.69,
RV116,2016-02-09,X-band,2037+511,ND,2.75,3.32,0.33,2011.33
RV114,2015-12-02,X-band,2037+511,ND,2.71,3.12,0.45,2714.6
RV102,2013-12-11,X-band,2037+511,ND,2.65,2.53,0.59,2339.02
RDV51,2005-06-29,X-band,1954-388,D,2.6,3.49,0.68,472.88
RDV63,2007-06-26,X-band,1954-388,D,2.59,3.12,0.38,
RDV45,2004-07-14,X-band,1954-388,D,2.58,1.89,0.86,
