Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
BR945,1994-07-08,X-band,1921-293,D,21.2,2.54,0.58,
RDV77,2009-10-07,X-band,1921-293,D,16.79,2.87,0.52,
RDV74,2009-04-21,X-band,1921-293,D,15.74,2.06,0.7,8237.65
RDV76,2009-07-29,X-band,1921-293,D,15.53,2.16,0.63,5400.02
RDV78,2009-12-02,X-band,1921-293,D,15.23,2.58,0.58,3832.48
RDV80,2010-08-04,X-band,1921-293,D,15.04,2.69,0.48,7905.33
RDV2,1997-03-31,X-band,1921-293,D,13.58,2.61,0.62,
RDV94,2012-08-22,X-band,1921-293,D,13.39,2.04,0.82,5710.98
RDV5,1997-09-08,X-band,1921-293,D,13.18,2.29,0.73,
RDV4,1997-07-24,X-band,1921-293,D,13,2.58,0.73,
RDV3,1997-05-19,X-band,1921-293,D,12.9,2.56,0.58,
RDV1,1997-01-30,X-band,1921-293,D,11.98,2.56,0.71,
RDV6,1997-12-17,X-band,1921-293,D,11.55,3.07,0.62,
RDV8,1998-04-15,X-band,1921-293,D,11.13,3.14,0.47,
RDV7,1998-02-09,X-band,1921-293,D,10.62,2.98,0.63,
RDV9,1998-06-24,X-band,1921-293,D,10.27,3.08,0.54,
BL122B,2005-08-26,X-band,1921-293,D,10.21,2.61,0.68,
RDV71,2008-09-03,X-band,1921-293,D,9.6,2.31,0.7,
RDV51,2005-06-29,X-band,1921-293,D,9.53,2.33,0.85,3765.27
RDV12,1998-12-21,X-band,1921-293,D,9.51,3.33,0.59,
RDV68,2008-04-02,X-band,1921-293,D,9.32,2.33,0.67,7560
RDV70,2008-07-09,X-band,1921-293,D,9.18,2.33,0.67,3575.87
RDV59,2006-09-13,X-band,1921-293,D,8.81,2.2,0.68,
RDV63,2007-06-26,X-band,1921-293,D,8.79,3.04,0.73,
RDV26,2001-03-12,X-band,1921-293,D,8.77,3.25,0.53,1802.24
RDV10,1998-08-10,X-band,1921-293,D,8.73,3.39,0.58,
RDV20,2000-03-13,X-band,1921-293,D,8.71,3.3,0.39,2827.52
B9725A,1997-01-10,X-band,1730-130,D,8.69,1.8,0.89,
RDV62,2007-03-27,X-band,1921-293,D,8.69,2.23,0.79,4183.81
BL115C,2004-02-15,X-band,1921-293,D,8.42,3.56,0.63,
RV106,2014-09-03,X-band,1921-293,D,7.6,2.34,0.79,6648.27
RDV61,2007-01-24,X-band,1921-293,D,7.48,2.36,0.58,
RDV66,2007-12-05,X-band,1921-293,D,7.3,2.65,0.74,7092.43
RDV42,2003-12-17,X-band,1921-293,D,6.82,3.21,0.66,2131.12
RDV45,2004-07-14,X-band,1741-038,D,6.72,1.35,0.8,
RDV51,2005-06-29,X-band,1741-038,D,6.3,3.93,0.47,2832.2
RDV42,2003-12-17,X-band,1741-038,D,6.1,2.2,0.55,2960.48
BL115C,2004-02-15,X-band,1741-038,D,6.1,1.86,0.75,
RDV62,2007-03-27,X-band,1749+096,D,5.54,1.64,0.83,5176.66
RDV62,2007-03-27,X-band,1741-038,D,5.29,2.8,0.5,7044.92
RDV88,2011-08-02,X-band,1749+096,D,5.24,1.89,0.88,5397.27
RDV63,2007-06-26,X-band,1741-038,D,5.16,2.4,0.55,
RDV5,1997-09-08,X-band,1741-038,D,5.11,0.91,0.84,
RDV4,1997-07-24,X-band,1741-038,D,4.77,0.69,0.86,
RDV65,2007-08-01,X-band,1741-038,D,4.75,3.03,0.4,
RDV8,1998-04-15,X-band,1741-038,D,4.71,1.16,0.79,
RDV9,1998-06-24,X-band,1741-038,D,4.7,1.16,0.82,
RDV67,2008-01-23,X-band,1741-038,D,4.6,2.56,0.54,
RDV42,2003-12-17,X-band,1749+096,D,4.59,1.35,0.85,6032.83
RDV59,2006-09-13,X-band,1741-038,D,4.57,2.97,0.37,
RDV2,1997-03-31,X-band,1741-038,D,4.57,1.29,0.84,
RDV7,1998-02-09,X-band,1741-038,D,4.57,1.08,0.82,
RDV66,2007-12-05,X-band,1741-038,D,4.56,2.53,0.54,6301.64
RDV64,2007-07-10,X-band,1749+096,D,4.56,1.41,0.86,7935.35
BL115C,2004-02-15,X-band,1730-130,D,4.5,2.73,0.69,
RDV3,1997-05-19,X-band,1741-038,D,4.46,1.23,0.87,
RDV6,1997-12-17,X-band,1741-038,D,4.43,1.08,0.83,
RDV10,1998-08-10,X-band,1741-038,D,4.39,1.23,0.76,
RDV45,2004-07-14,X-band,1749+096,D,4.36,0.69,0.89,
RDV26,2001-03-12,X-band,1741-038,D,4.34,2.23,0.71,3293.98
RDV70,2008-07-09,X-band,1741-038,D,4.23,2.95,0.45,4328.24
RDV12,1998-12-21,X-band,1741-038,D,4.16,1.35,0.71,
RDV68,2008-04-02,X-band,1741-038,D,4.12,3.02,0.39,2842.93
RDV9,1998-06-24,X-band,1749+096,D,4.05,1.56,0.87,
BR9525,1995-04-12,X-band,1749+096,D,4.03,0.69,0.95,
RDV1,1997-01-30,X-band,1741-038,D,3.99,1,0.88,
RDV78,2009-12-02,X-band,1759-396,D,3.97,1.72,0.89,6399.53
RDV71,2008-09-03,X-band,1741-038,D,3.8,2.61,0.48,
RDV92,2012-04-18,X-band,1741-038,D,3.74,2.42,0.63,6470.38
RDV10,1998-08-10,X-band,1749+096,D,3.74,0.91,0.83,
RDV61,2007-01-24,X-band,1741-038,D,3.72,2.58,0.52,
VABF12,1995-10-12,X-band,1749+096,D,3.72,0.4,0.97,
RDV26,2001-03-12,X-band,1749+096,D,3.67,1.68,0.91,4120.97
RDV20,2000-03-13,X-band,1741-038,D,3.65,2.4,0.61,2030.39
RDV94,2012-08-22,X-band,1741-038,D,3.64,2.4,0.68,5769.93
RDV31,2002-01-16,X-band,1741-038,D,3.58,2.23,0.63,
RDV66,2007-12-05,X-band,1749+096,D,3.58,1.64,0.84,6514.28
RDV59,2006-09-13,X-band,1749+096,D,3.58,0.69,0.79,
RDV12,1998-12-21,X-band,1749+096,D,3.56,0.81,0.85,
RV100,2013-07-24,X-band,1741-038,D,3.47,2.33,0.64,7657.37
RDV57,2006-07-11,X-band,1749+096,D,3.43,3.45,0.6,
VABF12,1995-10-12,X-band,1741-038,D,3.38,1.46,0.84,
RDV75,2009-05-13,X-band,1741-038,D,3.36,2.97,0.35,
RV118,2016-07-06,X-band,1730-130,D,3.25,3.18,0.52,2162.51
RDV61,2007-01-24,X-band,1749+096,D,3.21,2.14,0.83,
RDV77,2009-10-07,X-band,1741-038,D,3.18,3.11,0.36,
RDV98,2013-04-10,X-band,1741-038,D,3.17,2.18,0.69,3996.28
RV104,2014-04-01,X-band,1741-038,D,3.17,2.11,0.69,3948.01
RDV31,2002-01-16,X-band,1749+096,D,3.17,1.41,0.85,
RDV84,2010-12-07,X-band,1741-038,D,3.13,3.14,0.51,4709.41
BL122B,2005-08-26,X-band,1730-130,D,3.12,2.97,0.56,
BL115C,2004-02-15,X-band,1749+096,D,3.11,0.91,0.88,
RDV74,2009-04-21,X-band,1741-038,D,3.1,2.87,0.49,4379.9
RDV6,1997-12-17,X-band,1749+096,D,3.08,1.51,0.76,
RDV8,1998-04-15,X-band,1749+096,D,3.05,1.56,0.79,
RDV80,2010-08-04,X-band,1741-038,D,3.02,3.01,0.53,4335.51
RDV90,2011-12-20,X-band,1741-038,D,3.02,2.65,0.62,1757.81
BR945,1994-07-08,X-band,1741-038,D,3.01,1.64,0.85,
RDV7,1998-02-09,X-band,1749+096,D,2.95,1.92,0.77,
RDV3,1997-05-19,X-band,1749+096,D,2.95,0.81,0.93,
RDV9,1998-06-24,X-band,1908-201,D,2.92,1.95,0.69,
RDV5,1997-09-08,X-band,1749+096,D,2.89,1.16,0.82,
RDV79,2010-06-23,X-band,1741-038,D,2.88,3.61,0.43,
RDV71,2008-09-03,X-band,1749+096,D,2.87,0.56,0.91,
RDV12,1998-12-21,X-band,1908-201,D,2.87,2.23,0.7,
RDV82,2010-10-13,X-band,1741-038,D,2.83,3.19,0.5,2185.89
BR945,1994-07-08,X-band,1749+096,D,2.83,1.23,0.93,
RV116,2016-02-09,X-band,1749+096,D,2.82,2.64,0.67,3747.75
RV108,2014-12-03,X-band,1741-038,D,2.76,2.23,0.68,3141.65
RDV20,2000-03-13,X-band,1908-201,D,2.73,2.5,0.62,2401.03
RV110,2015-03-25,X-band,1741-038,D,2.72,2.38,0.73,3640.14
RDV8,1998-04-15,X-band,1908-201,D,2.72,1.95,0.81,
RDV10,1998-08-10,X-band,1908-201,D,2.71,2.01,0.72,
RDV4,1997-07-24,X-band,1749+096,D,2.65,0.56,0.87,
RDV88,2011-08-02,X-band,1803+784,ND,2.62,2.53,0.78,3067.25
RV112,2015-07-15,X-band,1741-038,D,2.61,2.61,0.66,3902.27
RV114,2015-12-02,X-band,1741-038,D,2.59,2.56,0.65,4276.41
RDV65,2007-08-01,X-band,1908-201,D,2.59,4.29,0.48,
RV106,2014-09-03,X-band,1749+096,D,2.58,1.89,0.83,3875.51
RDV71,2008-09-03,X-band,1803+784,ND,2.52,2.18,0.72,
RDV2,1997-03-31,X-band,1749+096,D,2.46,0.69,0.95,
RDV64,2007-07-10,X-band,1803+784,ND,2.45,2.06,0.69,4139.98
RDV84,2010-12-07,X-band,1749+096,D,2.44,1.72,0.86,5346.43
RDV62,2007-03-27,X-band,1908-201,D,2.44,2.29,0.73,4542.84
RDV10,1998-08-10,X-band,1803+784,ND,2.42,2.63,0.61,
RDV68,2008-04-02,X-band,1803+784,ND,2.41,2.33,0.71,4480.54
BR945,1994-07-08,X-band,1803+784,ND,2.39,2.2,0.74,
RDV59,2006-09-13,X-band,1908-201,D,2.38,1.95,0.6,
RDV57,2006-07-11,X-band,1908-201,D,2.37,2.56,0.83,
RDV64,2007-07-10,X-band,1908-201,D,2.35,2.38,0.72,3152.12
RDV20,2000-03-13,X-band,1803+784,ND,2.32,2.58,0.57,3671.8
RDV80,2010-08-04,X-band,1803+784,ND,2.32,2.68,0.68,4018.41
RV124,2017-07-17,X-band,1749+096,D,2.3,1.98,0.89,3638.35
RDV63,2007-06-26,X-band,1803+784,ND,2.29,2.18,0.73,
RDV90,2011-12-20,X-band,1803+784,ND,2.29,2.51,0.65,4156.2
RDV65,2007-08-01,X-band,1803+784,ND,2.28,1.95,0.72,
RDV9,1998-06-24,X-band,1803+784,ND,2.28,2.51,0.61,
