Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
RDV62,2007-03-27,X-band,1055+018,ND,4.03,2.45,0.75,4054.19
RDV69,2008-05-14,X-band,1055+018,ND,3.65,2.34,0.72,
BL115C,2004-02-15,X-band,1055+018,ND,3.31,2.83,0.68,
RDV9,1998-06-24,X-band,1124-186,D,2.78,1.29,0.81,
RDV92,2012-04-18,X-band,1124-186,D,2.51,1.46,0.91,7040.44
RDV10,1998-08-10,X-band,1124-186,D,2.5,1,0.84,
RDV98,2013-04-10,X-band,1124-186,D,2.32,2.04,0.74,4863.23
B9725A,1997-01-10,X-band,1055+018,ND,2.19,2.99,0.72,
RDV12,1998-12-21,X-band,1124-186,D,2.12,1,0.82,
RV116,2016-02-09,X-band,1124-186,D,2.1,1.64,0.92,5661.3
RDV70,2008-07-09,X-band,1124-186,D,2.03,2.2,0.84,4251.06
BL122B,2005-08-26,X-band,1034-293,ND,2.01,3.41,0.81,
RDV71,2008-09-03,X-band,1034-293,ND,1.98,1.98,0.65,
RDV8,1998-04-15,X-band,1124-186,D,1.98,1.8,0.77,
RDV90,2011-12-20,X-band,1034-293,ND,1.97,2.2,0.57,3113.54
RDV67,2008-01-23,X-band,1034-293,ND,1.94,1.72,0.71,
RDV45,2004-07-14,X-band,0955+476,D,1.93,0.69,0.79,
RDV66,2007-12-05,X-band,1034-293,ND,1.91,2.31,0.86,3043.43
RDV67,2008-01-23,X-band,1124-186,D,1.89,1.16,0.89,
RDV10,1998-08-10,X-band,1055+018,ND,1.88,3.43,0.58,
RDV66,2007-12-05,X-band,1124-186,D,1.87,1.64,0.96,4335.43
RDV70,2008-07-09,X-band,1034-293,ND,1.86,2.38,0.75,2843.22
BR945,1994-07-08,X-band,1034-293,ND,1.81,1.8,0.82,
RDV51,2005-06-29,X-band,0955+476,D,1.8,2.92,0.64,2398.15
BL122B,2005-08-26,X-band,1124-186,D,1.79,1.64,0.83,
RV114,2015-12-02,X-band,1124-186,D,1.79,1.83,0.89,5352.07
RDV64,2007-07-10,X-band,1034-293,ND,1.78,2.48,0.73,5021.57
RDV42,2003-12-17,X-band,0955+476,D,1.77,2.01,0.75,2307.69
RDV63,2007-06-26,X-band,1034-293,ND,1.77,1.86,0.72,
RDV4,1997-07-24,X-band,1034-293,ND,1.72,2.09,0.61,
RDV69,2008-05-14,X-band,1034-293,ND,1.67,2.11,0.84,
RDV68,2008-04-02,X-band,1034-293,ND,1.67,2.23,0.78,3537.25
BL115C,2004-02-15,X-band,1124-186,D,1.65,1.35,0.87,
RDV57,2006-07-11,X-band,1034-293,ND,1.64,3.39,0.38,
RDV5,1997-09-08,X-band,1034-293,ND,1.64,2.25,0.61,
RDV71,2008-09-03,X-band,1124-186,D,1.64,1.98,0.64,
RDV64,2007-07-10,X-band,1124-186,D,1.62,2.01,0.88,3601.39
RDV3,1997-05-19,X-band,1034-293,ND,1.61,1.56,0.72,
RDV86,2011-04-05,X-band,1124-186,D,1.61,2.06,0.85,3385.68
BR9525,1995-04-12,X-band,0917+624,ND,1.58,2.38,0.71,
RDV20,2000-03-13,X-band,1124-186,D,1.56,2.16,0.66,3531.05
RDV65,2007-08-01,X-band,1124-186,D,1.56,0.2,0.86,
RDV65,2007-08-01,X-band,1034-293,ND,1.52,2.14,0.75,
RDV62,2007-03-27,X-band,1034-293,ND,1.49,2.86,0.59,2364.3
RDV45,2004-07-14,X-band,1124-186,D,1.48,0.91,0.91,
RDV62,2007-03-27,X-band,0955+476,D,1.47,2.25,0.72,2329.63
RDV59,2006-09-13,X-band,1034-293,ND,1.47,1.56,0.6,
RDV42,2003-12-17,X-band,1124-186,D,1.47,2.64,0.64,2097.74
RDV78,2009-12-02,X-band,1034-293,ND,1.46,3.07,0.4,2878.74
RDV10,1998-08-10,X-band,1038+064,ND,1.46,3.84,0.34,
RDV31,2002-01-16,X-band,0955+476,D,1.45,0.2,0.83,
BR9525,1995-04-12,X-band,1049+215,ND,1.44,2.57,0.63,
VABF12,1995-10-12,X-band,0945+408,ND,1.43,2.71,0.56,
RDV64,2007-07-10,X-band,0955+476,D,1.43,2.09,0.7,3143.87
RDV51,2005-06-29,X-band,1034-293,ND,1.43,1.64,0.87,5972.79
RDV64,2007-07-10,X-band,1128+385,ND,1.43,2.09,0.75,3598.19
RV102,2013-12-11,X-band,0925-203,ND,1.42,2.45,0.72,3832.64
RDV94,2012-08-22,X-band,1045-188,ND,1.42,2.04,0.84,3490.56
RDV78,2009-12-02,X-band,1124-186,D,1.42,2.23,0.86,1961.53
RDV75,2009-05-13,X-band,0945+408,ND,1.4,3.11,0.58,
RDV26,2001-03-12,X-band,0955+476,D,1.4,2.14,0.81,2150.34
RDV70,2008-07-09,X-band,0955+476,D,1.4,2.38,0.77,1643.54
