Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
BL122B,2005-08-26,X-band,0234+285,ND,4.25,1.41,0.87,
RDV77,2009-10-07,X-band,0133+476,D,4.1,1.98,0.64,
RDV75,2009-05-13,X-band,0133+476,D,4.01,2.16,0.68,
RV100,2013-07-24,X-band,0133+476,D,3.87,1.6,0.88,8971.88
RV104,2014-04-01,X-band,0133+476,D,3.38,1.92,0.78,3243.4
RDV26,2001-03-12,X-band,0133+476,D,3.36,1.23,0.82,4742.54
BL115C,2004-02-15,X-band,0133+476,D,3.34,1.29,0.84,
RDV70,2008-07-09,X-band,0234+285,ND,3.19,2.96,0.54,1766.35
RDV69,2008-05-14,X-band,0133+476,D,3.17,2.04,0.76,
RDV42,2003-12-17,X-band,0133+476,D,3.16,2.01,0.8,4786.17
RDV63,2007-06-26,X-band,0133+476,D,3.15,2.45,0.87,
RDV67,2008-01-23,X-band,0133+476,D,3.08,2.11,0.73,
RDV31,2002-01-16,X-band,0234+285,ND,3.01,1.83,0.84,
RDV62,2007-03-27,X-band,0133+476,D,2.99,2.53,0.8,4782.78
RDV66,2007-12-05,X-band,0133+476,D,2.91,2.65,0.8,4229
RDV42,2003-12-17,X-band,0234+285,ND,2.88,2.53,0.56,2411.56
RDV73,2009-01-21,X-band,0133+476,D,2.87,2.25,0.75,
RDV31,2002-01-16,X-band,0133+476,D,2.86,1,0.82,
RDV71,2008-09-03,X-band,0235+164,D,2.86,0.91,0.65,
RDV62,2007-03-27,X-band,0234+285,ND,2.79,2.77,0.46,1906.73
RDV79,2010-06-23,X-band,0133+476,D,2.68,2.45,0.58,
RDV71,2008-09-03,X-band,0133+476,D,2.63,2.23,0.63,
RDV73,2009-01-21,X-band,0235+164,D,2.61,1.29,0.9,
RDV26,2001-03-12,X-band,0234+285,ND,2.56,2.33,0.71,3075.35
RDV64,2007-07-10,X-band,0235+164,D,2.55,1.95,0.77,5201.62
RDV10,1998-08-10,X-band,0133+476,D,2.52,1.72,0.67,
RDV20,2000-03-13,X-band,0133+476,D,2.51,1.46,0.81,4212.78
RDV7,1998-02-09,X-band,0133+476,D,2.45,1.76,0.68,
RDV9,1998-06-24,X-band,0133+476,D,2.42,1.86,0.67,
RDV74,2009-04-21,X-band,0332-403,D,2.42,1.64,0.94,6361.1
RDV69,2008-05-14,X-band,0202+319,D,2.39,1.41,0.75,
RV114,2015-12-02,X-band,0336-019,ND,2.39,2.64,0.69,2423.32
RDV51,2005-06-29,X-band,0133+476,D,2.38,2.92,0.76,1210.52
RDV76,2009-07-29,X-band,0332-403,D,2.38,1.76,0.91,6256.07
RDV42,2003-12-17,X-band,0336-019,ND,2.37,3.2,0.46,1704.74
RDV75,2009-05-13,X-band,0336-019,ND,2.33,3.24,0.47,
RDV4,1997-07-24,X-band,0336-019,ND,2.29,2.63,0.74,
RDV6,1997-12-17,X-band,0133+476,D,2.27,1.76,0.72,
RDV20,2000-03-13,X-band,0234+285,ND,2.26,2.31,0.69,2597.86
RDV12,1998-12-21,X-band,0336-019,ND,2.26,2.29,0.68,
RDV5,1997-09-08,X-band,0133+476,D,2.25,1.56,0.7,
RDV77,2009-10-07,X-band,0332-403,D,2.24,0,0.87,
RDV12,1998-12-21,X-band,0133+476,D,2.23,1.98,0.73,
RDV8,1998-04-15,X-band,0133+476,D,2.22,1.72,0.64,
BE10A,1996-04-23,X-band,0133+476,D,2.21,2.11,0.87,
RDV84,2010-12-07,X-band,0133+476,D,2.15,2.75,0.58,3615.49
RDV86,2011-04-05,X-band,0229+131,ND,2.15,2.97,0.37,2336.14
RV104,2014-04-01,X-band,0234+285,ND,2.12,3.13,0.45,1911.26
BR945,1994-07-08,X-band,0234+285,ND,2.11,3.32,0.45,
RDV66,2007-12-05,X-band,0336-019,ND,2.11,3.25,0.56,2162.56
RDV9,1998-06-24,X-band,0336-019,ND,2.08,2.42,0.66,
RDV66,2007-12-05,X-band,0202+319,D,2.06,1.86,0.87,4919.35
RDV4,1997-07-24,X-band,0133+476,D,2.01,2.04,0.7,
RDG953,1995-10-02,X-band,0336-019,ND,2.01,2.99,0.55,
RDV67,2008-01-23,X-band,0336-019,ND,2.01,3.2,0.6,
RV120,2016-11-30,X-band,0133+476,D,2,2.11,0.76,3063.83
RDV64,2007-07-10,X-band,0336-019,ND,2,3.71,0.37,548.59
RDV10,1998-08-10,X-band,0336-019,ND,1.99,1.86,0.76,
RV102,2013-12-11,X-band,0336-019,ND,1.99,3.53,0.33,2423.62
