 28   29   34   32   43   50   51   63   32   34   19   28   18   27  
 29   32   35   28   46   43   43   61   42   33   12   28   31   25  
 24   22   26   32   39   44   54   46   54   38   38   20   26   25  
 26   26   22   29   43   45   62   46   45   42   30   24   25   23  
 25   20   28   41   43   39   46   54   47   22   32   31   31   29  
 20   29   31   35   39   39   39   74   48   33   31   22   25   23  
 23   29   34   22   40   34   61   52   41   45   26   33   27   21  
 23   40   34   33   34   40   53   61   34   38   30   24   21   23  
 23   28   25   37   27   45   54   68   34   39   30   22   23   33  
 16   29   31   30   38   41   48   62   46   41   20   29   33   24  
 25   25   27   29   46   40   57   52   36   36   34   23   30   28  
 20   27   33   31   33   35   51   55   54   35   35   33   23   23  
 25   19   29   26   43   45   56   61   42   38   30   27   27   20  
 27   20   16   34   42   55   45   57   46   43   25   25   25   28  
 18   28   36   26   41   55   51   56   38   29   29   31   28   22  
 37   23   22   30   39   40   65   55   39   42   32   21   18   25  
 19   30   22   37   42   40   53   72   33   36   24   25   28   27  
 28   26   37   34   37   35   42   68   41   31   23   25   26   35  
 20   36   27   32   35   52   44   58   50   26   27   34   22   25  
 23   23   28   35   49   45   45   65   37   38   33   17   28   22  
 29   26   41   28   29   53   53   45   42   36   35   19   27   25  
 29   21   30   34   40   52   42   60   44   37   23   22   29   25  
 26   32   26   35   39   40   39   60   43   26   36   24   32   30  
 34   30   24   41   37   45   43   56   49   28   30   21   24   26  
 25   20   25   31   36   44   47   64   48   37   24   38   30   19  
 17   35   23   29   45   37   55   48   47   34   35   24   27   32  
 25   18   26   44   49   39   49   60   47   22   28   27   18   36  
 31   20   25   32   39   49   52   51   51   36   26   31   19   26  
 24   29   29   42   37   37   60   43   44   29   25   33   26   30  
 20   30   30   25   37   33   55   64   48   31   29   31   28   27  
 31   31   29   21   39   46   53   55   39   34   27   29   36   18  
 22   26   20   38   38   44   58   55   62   31   31   20   23   20  
 28   29   21   28   44   38   35   64   54   33   36   28   27   23  
 22   24   30   32   42   47   52   55   43   38   28   27   19   29  
 24   21   32   27   39   47   55   51   44   33   30   30   28   27  
 30   25   26   32   36   41   41   48   47   29   38   29   40   26  
 25   22   33   33   40   47   55   57   41   29   26   35   25   20  
 25   29   27   29   48   48   47   56   51   32   34   17   26   19  
 20   24   31   29   43   47   56   64   40   35   30   26   26   17  
 25   30   19   32   42   51   41   51   44   39   35   22   28   29  
 32   28   29   36   38   43   49   63   41   31   31   20   21   26  
 29   33   28   36   29   39   59   55   37   34   35   21   16   37  
 23   30   25   33   41   44   41   64   39   44   30   27   24   23  
 29   25   31   27   24   60   54   47   38   33   32   36   26   26  
 20   27   42   29   27   58   47   55   37   43   24   26   30   23  
 19   24   28   29   36   49   58   52   38   33   25   32   32   33  
 28   23   24   31   47   41   52   68   38   38   29   30   19   20  
 29   27   22   38   41   37   54   65   35   34   22   31   27   26  
 27   19   26   34   33   43   49   64   38   42   31   39   23   20  
 20   26   36   26   36   42   52   47   56   40   25   17   36   29  
 34   23   35   23   40   44   59   55   33   38   31   29   22   22  
 28   19   33   35   32   46   62   49   49   28   34   22   26   25  
 26   21   28   32   46   44   53   52   42   30   27   34   23   30  
 29   29   30   25   36   43   53   65   38   32   30   29   24   25  
 21   24   39   32   37   41   50   53   44   42   37   24   19   25  
 26   28   32   25   29   46   58   57   46   25   31   25   26   34  
 31   33   25   28   36   41   47   59   49   40   28   29   22   20  
 26   33   32   37   46   40   37   51   48   35   31   26   27   19  
 15   34   32   26   38   41   44   52   51   37   33   32   30   23  
 22   25   33   27   41   41   53   61   35   39   28   32   24   27  
 34   31   21   30   29   36   57   52   45   38   31   32   21   31  
 24   31   36   33   39   31   59   44   40   36   38   23   23   31  
 15   27   36   33   31   52   44   60   42   37   26   28   32   25  
 36   27   17   29   42   38   45   70   44   40   29   23   21   27  
 25   32   37   45   37   46   51   60   33   33   17   23   23   26  
 27   26   23   25   40   44   46   55   45   41   28   33   26   29  
 27   15   27   31   35   48   58   63   32   30   39   28   31   24  
 35   29   31   31   39   40   60   53   42   25   35   21   26   21  
 25   32   22   33   39   40   59   60   46   29   26   26   21   30  
 28   32   25   33   30   41   58   53   41   33   35   22   26   31  
 32   25   30   28   38   43   49   59   47   36   26   26   22   27  
 19   30   29   26   43   42   43   65   44   31   32   26   29   29  
 27   27   30   31   42   38   52   62   44   46   21   17   30   21  
 24   28   36   24   47   48   48   62   34   35   27   26   29   20  
 28   21   28   40   47   35   50   63   34   39   25   32   19   27  
 22   32   14   25   44   39   58   59   35   32   34   39   26   29  
 18   28   36   22   41   49   43   59   50   37   28   26   28   23  
 20   33   33   37   35   40   53   50   40   29   32   24   35   27  
 28   20   31   30   35   38   49   66   51   33   24   33   25   25  
 25   20   28   31   45   44   49   49   42   37   30   30   28   30  
 30   24   31   26   39   45   45   56   47   37   33   24   25   26  
 36   24   35   29   35   34   45   65   52   29   31   24   22   27  
 26   40   32   25   45   43   49   51   58   23   17   26   28   25  
 26   20   23   40   42   43   47   58   48   36   27   31   23   24  
 25   18   34   35   39   48   46   42   35   38   34   37   27   30  
 16   26   42   26   40   42   46   58   44   36   30   26   27   29  
 23   24   23   41   30   38   53   61   42   46   26   32   22   27  
 31   28   31   34   38   42   42   50   49   38   33   29   26   17  
 23   23   39   35   33   29   54   73   44   34   21   29   17   34  
 22   26   29   30   33   45   59   51   44   36   36   24   28   25  
 35   29   25   27   35   43   60   62   44   36   26   26   24   16  
 29   20   38   30   37   44   50   51   50   36   23   21   31   28  
 22   24   29   38   39   50   50   46   48   30   32   31   28   21  
 22   30   30   35   39   42   49   52   46   40   24   25   32   22  
 23   27   32   31   48   40   42   64   47   27   25   31   30   21  
 29   22   30   33   32   38   48   60   50   34   35   22   24   31  
 25   32   31   38   30   39   44   58   46   40   31   29   24   21  
 20   36   21   37   42   39   47   56   41   35   35   30   16   33  
 28   25   27   35   37   38   57   61   44   36   24   23   21   32  
 19   23   38   34   32   34   58   65   45   29   28   24   25   34  
 26   28   34   22   38   41   53   50   39   31   34   25   32   35  
 14   33   29   28   41   41   55   57   44   38   24   32   24   28  
 31   32   32   30   34   42   35   53   46   34   31   42   27   19  
 23   31   29   31   38   48   52   55   45   28   25   26   28   29  
 32   16   25   30   35   46   59   64   39   33   36   27   29   17  
 33   25   27   32   45   42   54   50   38   38   32   20   27   25  
 18   27   36   28   38   46   54   58   39   39   23   32   20   30  
 28   27   27   28   48   42   47   64   41   30   26   30   28   22  
 15   25   33   25   41   43   52   58   45   35   33   23   28   32  
 16   24   28   30   42   43   56   61   49   35   29   23   28   24  
 26   34   29   42   38   43   51   52   41   30   23   32   23   24  
 28   25   30   22   49   39   50   57   41   42   31   27   22   25  
 26   31   23   35   40   52   46   60   42   30   24   27   27   25  
 29   25   32   26   38   46   53   58   49   35   23   29   24   21  
 31   31   20   34   40   42   55   61   39   37   27   23   27   21  
 30   21   33   37   41   38   48   59   35   31   39   29   13   34  
 22   29   25   29   36   44   50   54   42   32   35   38   27   25  
 24   26   37   35   31   49   59   49   47   25   26   30   31   19  
 23   34   22   27   35   36   56   54   49   38   28   29   35   22  
 25   26   22   30   38   49   44   53   42   41   27   35   28   28  
 19   27   26   33   48   35   58   68   27   23   42   26   28   28  
 28   27   23   32   30   37   47   59   41   44   34   31   25   30  
 30   21   23   35   36   45   48   63   38   29   27   34   27   32  
 18   29   26   24   47   39   59   48   46   35   38   29   17   33  
 30   19   34   29   35   45   51   58   44   30   30   26   26   31  
 23   30   23   34   35   41   50   54   47   33   38   36   24   20  
 20   25   24   33   50   49   58   58   42   30   27   17   29   26  
 16   31   27   26   52   41   49   60   46   31   27   32   25   25  
 22   23   37   33   40   39   53   57   39   39   28   21   29   28  
 17   22   26   29   40   52   51   71   44   34   28   21   20   33  
 28   25   27   23   37   39   49   64   51   38   26   30   30   21  
 20   27   31   35   34   54   47   62   52   28   22   28   19   29  
 29   23   29   33   31   50   55   59   40   33   30   25   28   23  
 25   27   25   21   46   55   42   73   32   33   30   29   24   26  
 18   33   23   37   30   49   52   51   42   40   29   38   27   19  
 28   24   26   41   42   43   48   53   47   28   31   30   28   19  
 25   25   25   34   37   36   46   65   51   34   41   19   26   24  
 23   26   42   24   33   42   59   53   34   36   28   35   32   21  
 11   29   26   32   38   48   47   61   38   50   27   21   35   25  
 39   26   34   21   46   37   53   61   41   38   20   28   24   20  
 32   25   35   33   34   46   53   59   41   36   30   20   21   23  
 34   33   27   37   35   36   57   63   40   24   41   24   24   13  
 25   33   25   35   43   35   52   52   47   27   32   30   32   20  
 23   18   31   37   41   51   43   65   46   37   25   24   24   23  
 28   29   26   32   40   34   48   63   58   28   23   30   27   22  
 24   19   25   38   37   43   50   62   38   32   29   27   34   30  
 27   23   29   35   37   41   50   61   46   33   30   28   24   24  
 17   30   31   22   33   42   65   56   36   36   33   29   28   30  
 23   33   25   30   41   47   57   55   43   30   33   20   24   27  
 23   29   26   37   34   48   43   68   45   31   22   26   28   28  
 31   25   22   29   42   55   48   52   48   36   33   23   26   18  
 21   34   15   32   35   48   52   66   36   43   28   23   21   34  
 17   29   33   28   40   39   44   64   40   40   32   25   30   27  
 31   19   28   31   34   45   55   50   41   40   24   27   30   33  
 28   26   32   20   38   50   59   57   39   38   30   22   27   22  
 23   32   19   26   34   46   58   70   34   30   42   20   25   29  
 24   19   28   25   49   44   49   60   33   50   26   29   24   28  
 29   17   31   31   41   58   50   49   50   40   32   18   17   25  
 28   26   28   33   39   37   52   68   43   27   35   27   20   25  
 22   33   29   34   35   45   56   54   43   30   25   25   26   31  
 29   28   30   39   29   45   54   55   39   37   25   27   15   36  
 24   30   25   33   34   39   55   50   52   40   28   27   32   19  
 29   27   23   41   37   33   53   59   41   30   33   26   25   31  
 20   24   29   39   37   42   57   60   37   37   34   27   28   17  
 18   28   27   29   43   43   53   54   44   30   36   34   24   25  
 23   20   35   32   43   43   53   57   37   37   27   23   36   22  
 30   33   22   38   36   43   49   58   48   32   31   15   21   32  
 25   15   27   36   32   34   53   57   60   43   31   30   24   21  
 29   20   22   30   58   41   41   54   40   32   28   37   28   28  
 27   37   31   30   46   37   52   55   28   43   20   28   24   30  
 21   25   25   38   32   47   51   68   42   45   22   17   35   20  
 23   30   32   31   38   51   38   58   49   46   17   30   18   27  
 18   22   31   33   39   43   47   57   49   36   31   27   23   32  
 35   21   23   28   41   38   49   69   42   28   21   41   25   27  
 24   27   25   32   39   43   57   52   46   30   34   24   32   23  
 21   27   31   30   36   48   47   59   39   37   29   33   31   20  
 20   24   41   30   36   39   49   66   42   35   33   20   27   26  
 32   19   23   35   45   48   47   59   34   32   31   37   28   18  
 21   25   32   31   45   34   49   64   41   43   33   22   24   24  
 27   25   24   33   37   36   57   56   52   33   35   25   22   26  
 24   21   35   30   29   41   55   51   51   37   28   30   24   32  
 29   21   36   37   40   48   54   50   45   31   18   32   28   19  
 22   31   36   30   43   36   45   63   37   36   31   31   25   22  
 19   26   31   28   36   48   51   59   52   30   28   26   17   37  
 26   23   33   31   34   51   56   54   44   32   22   21   35   26  
 30   28   25   42   30   44   57   53   32   37   33   27   34   16  
 22   28   35   35   39   30   54   70   34   33   33   26   26   23  
 32   20   25   34   36   34   65   53   46   30   28   33   23   29  
 23   24   23   22   32   45   66   63   43   32   32   29   31   23  
 33   28   21   29   45   43   48   51   50   33   30   21   27   29  
 24   40   28   32   31   46   51   60   40   33   29   28   19   27  
 21   27   35   38   32   29   57   63   47   34   33   25   23   24  
 17   31   32   22   38   42   52   55   46   39   30   28   30   26  
 22   22   28   30   44   48   37   65   29   38   36   31   35   23  
 26   29   30   39   33   43   44   45   50   22   46   29   21   31  
 25   25   24   40   35   45   51   59   42   40   37   25   22   18  
 17   22   36   36   36   44   64   43   39   44   32   32   21   22  
 28   21   39   43   35   47   40   52   48   34   27   31   21   22  
 26   26   31   33   37   40   57   57   43   36   26   24   27   25  
 21   28   24   45   32   35   59   65   38   29   32   27   23   30  
 30   29   28   30   43   44   40   62   48   32   32   19   25   26  
 26   26   32   31   31   39   49   70   36   37   30   30   27   24  
 24   30   31   24   32   48   51   65   36   37   31   27   29   23  
 30   29   22   26   52   43   51   48   38   34   31   31   35   18  
 25   25   34   36   42   38   61   54   39   33   29   26   29   17  
 24   26   31   34   42   31   59   46   37   31   36   35   36   20  
 23   34   24   22   45   37   58   55   43   32   31   28   29   27  
 22   21   39   33   34   47   57   45   50   39   28   30   20   23  
 22   31   28   29   41   42   44   64   53   35   25   29   24   21  
 31   28   32   35   34   50   48   52   38   37   27   24   26   26  
