recno,LQAC,Flag,OName,Nature,RAOdeg,DEOdeg,Source,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,Ref,GAIA,z,Gmag2,BPmag,RPmag,umag_1,Bmag_1,Gmag1,Vmag,gmag_1,rmag_1,imag_1,zmag_1,Jmag,Kmag,W1mag,W2mag,W3mag,W4mag,S1_4,S2_3,S5_0,S8_4,S23,I1B,I2B,I3B,I1R,I2R,I3R,I1I,I2I,I3I,BMAG_1a,IMAG_1a,uMAG_1a,gMAG_1a,rMAG_1a,iMAG_1b,zMAG_1a,iers_name,source_id,Separation
114062,LQAC_045+001_005,3,PKS 0258+011,ICRF2,45.348362303,1.309999181,DR2,45.3483624203,1.3099989436,0.512,0.508,0.056,0.714,1.765,0.968,2.258,0.901,ABCD------KL-,DR12,1.221,19.593,20.061,18.98,,19.85,19.385,19.02,,18.73,18.52,,,,15.117,13.951,11.223,8.42,0.47,0.207,0.32,0.195,,,,,1.3,0.9,0.4,,,,-25.114,-25.578,,,,,,0258+011,239556096283136,9.531212260217929E-4
114689,LQAC_047+004_001,3,NGC 1218,ICRF2,47.109265845,4.110916892,DR2,47.1092672041,4.1109170138,0.355,0.379,0.347,0.538,-0.67,0.814,0.346,0.843,AB-------JKL-,DR12,0.0287,16.305,15.714,14.281,,9.4,16.072,18.86,,8.45,7.31,,12.634,11.144,9.134,9.092,8.114,6.446,2.573,0.541,3.554,0.494,,0.8,0.6,0.2,2.7,0.3,0.2,0.8,1.2,0.6,-26.828,-28.454,,,,,,0305+039,2673466818523904,0.004899715341964649
110124,LQAC_042+006_002,3,87GB 02466+0607,ICRF2,42.32506711,6.331096629,DR2,42.3250671986,6.3310963882,0.197,0.145,0.387,0.202,0.411,0.404,-0.15,0.33,ABCD-----JKL-,DR12,1.881,18.194,18.617,17.57,,18.86,18.088,18.15,,17.99,17.08,,16.923,15.791,14.7,13.688,10.912,8.331,0.343,0.871,0.646,0.6,,,,,,,,,,,-27.886,-28.325,,,,,,0246+061,6631188986915584,9.228816438924547E-4
113599,LQAC_044+005_005,3,87GB 02562+0529,ICRF2,44.71052642,5.685566359,DR2,44.7105263791,5.6855669617,0.331,0.346,-0.319,0.386,-0.065,0.798,0.311,0.798,ABCD------KL-,DR12,1.38,19.449,19.736,19.084,,19.79,19.499,18.71,,19.37,,,,,15.191,14.021,11.247,8.223,,0.255,0.241,0.211,,0.4,0.4,1.0,1.3,1.9,0.3,,,,-25.681,,,,,,,0256+054,6884282820204288,0.0021745251795828556
114082,LQAC_045+006_004,3,PKS 0258+058,ICRF2,45.390474645,6.040911777,DR2,45.3904745974,6.040911748,0.238,0.252,-0.015,0.315,0.017,0.479,-0.571,0.468,AB-D------KL-,DR12,2.313,18.649,18.718,18.211,,18.83,18.559,18.54,,18.9,17.89,,,,15.385,14.373,11.224,8.897,0.404,0.404,0.499,0.328,,0.2,0.5,0.0,1.3,0.6,0.1,0.2,0.3,0.1,-27.912,-27.839,,,,,,0258+058,6993551083342976,1.9972128107640394E-4
113757,LQAC_044+007_001,3,PKS 0256+075,ICRF2,44.862819261,7.794345264,DR2,44.8628192594,7.7943451437,0.123,0.102,-0.116,0.129,0.181,0.294,-0.119,0.248,ABCD----I-KL-,DR12,0.893,17.73,18.183,16.953,,21.36,17.643,18.0,,19.28,18.92,,,,13.959,12.909,9.871,7.294,0.93,0.614,0.78,0.43,,0.4,0.1,1.3,0.9,0.2,0.0,0.6,1.9,0.3,-23.771,-25.034,,,,,,0256+075,8527129285880704,4.329596396149995E-4
115480,LQAC_048+010_001,3,J0315+1012,ICRF2,48.838082498,10.211967635,DR2,48.8380829176,10.211966964,0.36,0.333,0.193,0.417,-0.831,0.884,0.632,0.714,AB-------JKL-,DR12,0.222,19.066,19.521,17.844,,19.78,18.857,18.27,,18.13,17.46,,15.881,14.17,13.345,12.433,9.916,7.508,,0.126,,0.128,,0.4,0.5,0.3,0.5,0.5,0.1,0.4,0.2,0.1,-22.462,-23.279,,,,,,0312+100,14586911528117248,0.0028365380902118753
114744,LQAC_047+010_001,3,PKS 0306+102,ICRF2,47.265097917,10.487872489,DR2,47.2650979173,10.4878724466,0.33,0.264,0.483,0.394,0.41,0.7,0.096,0.569,ABCD----IJKL-,DR12,0.863,19.023,19.43,18.083,18.05,18.45,19.103,18.0,,19.98,18.55,,17.213,15.186,12.422,11.291,8.146,5.742,0.5,0.393,1.02,0.631,,0.2,0.4,0.4,,,,,,,-26.274,-25.183,,,,,,0306+102,15495005053467776,1.525962910821004E-4
116027,LQAC_050+012_001,3,PKS 0319+12,ICRF2,50.471264618,12.353876035,DR2,50.4712646163,12.3538760023,0.268,0.216,0.048,0.291,0.21,0.635,-0.038,0.441,ABCD-----JKL-,DR2,2.662,18.697,19.329,17.863,,19.76,,18.67,,18.36,17.77,,16.503,15.379,14.658,13.652,10.074,7.555,1.74,1.48,1.1,0.698,,2.3,0.8,0.5,2.5,1.0,0.0,0.5,2.6,0.9,-30.19,-29.468,,,,,,0319+121,17475775250904960,1.1784279386525851E-4
105219,LQAC_039+005_001,3,87GB 02346+0513,ICRF2,39.308492302,5.447213666,DR2,39.3084918625,5.447213732,0.402,0.261,0.474,0.364,1.289,0.67,-0.206,0.482,ABCD-----JKL-,DR12,0.561,18.935,18.87,18.392,,18.87,18.648,18.49,,18.75,17.59,,17.491,15.597,14.459,13.44,10.927,8.405,0.173,0.194,0.191,0.129,,,,,,,,,,,-23.876,-24.733,,,,,,0234+052,18121326015612672,0.0015928913169424898
98086,LQAC_035+009_001,3,H 0218+0931,RADIO,35.224176096,9.759771928,DR2,35.2241762638,9.7597716772,0.291,0.261,0.555,0.431,-0.699,0.464,-0.004,0.421,-B--------KL-,DR12,2.0,18.549,18.697,18.145,,18.79,18.505,18.84,,18.47,17.76,,,,15.844,14.878,11.201,8.838,0.06,0.053,0.074,0.027,,,,,,,,,,,-27.329,-27.484,,,,,,0218+095,24069649561839104,0.0010815966434517689
100239,LQAC_036+011_001,3,MC 0222+113,ICRF2,36.424624574,11.573740179,DR2,36.4246245179,11.5737401983,0.233,0.152,0.31,0.216,0.283,0.43,0.175,0.286,AB------I-KL-,DR12,0.924,18.254,18.471,17.848,,19.1,18.182,18.0,,18.34,17.6,,,,14.832,13.688,10.625,7.738,0.485,0.332,0.512,0.243,,0.2,0.0,0.2,0.8,0.3,0.0,0.3,0.7,0.6,-25.252,-26.037,,,,,,0223+113,24740523453770368,2.097286255683277E-4
107200,LQAC_040+011_001,3,PKS 0239+108,ICRF2,40.621545227,11.016868876,DR2,40.6215455739,11.0168686292,0.984,1.057,-0.488,1.178,-2.299,2.473,-1.597,3.009,ABCD------KL-,DR2,2.68,20.674,21.005,19.43,,20.89,,,,19.6,,,,,14.3,13.251,10.371,7.823,1.15,1.31,1.05,0.857,,,,,,,,,,,-26.775,,,,,,,0239+108,25350786766710528,0.001513884472108695
108107,LQAC_041+013_001,3,J0244+1320,ICRF2,41.190388927,13.335339263,DR2,41.1903887109,13.3353391165,0.476,0.324,0.002,0.51,1.891,0.797,0.593,0.658,AB-D------KL-,DR12,,19.297,19.384,18.664,,20.04,19.252,,,18.99,,,,,14.232,13.141,10.545,8.414,,0.122,,0.248,,,,,,,,,,,,,,,,,,0242+131,31904219666051072,9.226353565557743E-4
114414,LQAC_046+017_002,3,J0305+1734,ICRF2,46.292600927,17.583081203,DR2,46.2925999229,17.5830812453,1.836,1.203,0.761,1.893,0.052,3.436,2.416,2.791,ABCD------K--,DR12,,20.764,20.705,20.032,,20.95,20.512,,,19.5,,,,,16.336,15.128,11.854,8.287,,0.224,,0.168,,,,,,,,,,,,,,,,,,0302+173,34844829154364800,0.003449367257402267
111237,LQAC_043+017_001,3,J0252+1718,RADIO+,43.032160833,17.311857192,DR2,43.0321612665,17.3118579177,0.212,0.181,0.014,0.223,-0.107,0.463,0.084,0.359,-BCD-----JKL-,DR12,,18.388,18.686,17.695,,19.26,18.221,18.54,,18.36,17.57,,16.513,14.918,13.594,12.534,9.912,7.513,,,,0.16,,,,,,,,,,,,,,,,,,0249+171,35305661965864576,0.0030074918388568353
117658,LQAC_056+015_001,3,J0344+1559,ICRF2,56.096550676,15.995380373,DR2,56.0965506943,15.9953801899,0.723,0.429,-0.564,0.698,0.723,1.961,-1.465,1.084,ABCD------KL-,DR12,2.27,19.7,19.806,19.095,,20.71,19.549,,,19.78,18.82,,,,14.963,14.393,11.478,8.242,0.33,0.31,0.3,0.229,,1.6,1.3,0.7,0.7,1.6,0.6,,,,-27.286,-27.469,,,,,,0341+158,43225890896821376,6.623335260314391E-4
118452,LQAC_063+023_001,3,3C 108,ICRF2,63.181945282,23.084847946,DR2,63.1819452218,23.084847818,0.226,0.105,-0.033,0.322,0.592,0.534,-0.072,0.404,ABC-----IJKL-,DR12,1.215,18.114,18.699,17.291,,19.6,17.951,18.7,,17.96,17.11,,16.309,14.999,13.491,12.074,9.112,6.662,1.3,0.376,0.68,0.281,,0.6,0.0,0.7,0.7,0.2,0.2,0.1,0.3,0.2,-26.868,-27.659,,,,,,0409+229,52907090779778048,5.019604600285683E-4
118220,LQAC_060+021_001,3,TEX 0358+210,ICRF2,60.438191969,21.17460751,DR2,60.4381919452,21.1746074584,0.715,0.252,-0.496,0.818,-0.381,1.096,0.282,0.455,ABCD-----JKL-,DR12,0.834,19.639,19.866,18.647,,19.16,19.861,,,19.22,18.15,,16.223,14.33,14.127,13.113,10.148,7.76,0.377,0.276,0.158,0.255,,0.0,1.0,1.1,1.4,1.8,0.7,1.1,1.3,0.5,-25.563,-25.547,,,,,,0358+210,52945676765963904,2.0211290279472605E-4
116235,LQAC_051+022_001,3,TEX 0322+222,ICRF2,51.403393131,22.400101552,DR2,51.4033929999,22.4001014788,0.349,0.244,0.596,0.415,0.369,0.662,0.107,0.486,ABCD------KL-,DR12,2.06,19.063,19.492,18.421,,19.96,18.959,19.11,,19.0,17.94,,,,13.97,12.753,9.194,6.66,0.69,0.924,1.18,1.094,,1.9,1.5,0.1,0.9,0.1,0.8,0.7,1.2,1.1,-26.9,-27.692,,,,,,0322+222,61763897460044928,5.099415468415715E-4
93812,LQAC_032+010_001,3,CGRaBS J0211+1051,ICRF2,32.804905774,10.859666349,DR2,32.8049058442,10.8596662556,0.047,0.031,-0.144,0.056,-0.007,0.066,-0.032,0.06,ABCD-----JKL-,DR12,0.2,14.841,15.291,14.107,,16.1,14.645,15.79,,15.11,14.5,,13.998,12.398,9.329,8.408,6.132,4.018,0.312,0.386,0.384,0.335,,0.0,0.1,0.5,1.8,0.2,0.5,1.0,0.4,0.5,,,,,,,,0208+106,72424525979524480,4.178805349832667E-4
102975,LQAC_037+013_001,3,PKS 0229+13,ICRF2,37.941225226,13.38186563,DR2,37.941225153,13.3818654857,0.123,0.109,0.005,0.142,0.306,0.277,0.325,0.222,ABCD----IJKL-,DR12,2.059,17.691,17.974,17.175,16.55,17.28,17.609,17.03,,17.76,17.22,,16.688,15.381,14.274,13.31,10.256,7.774,1.35,1.352,2.2,1.224,,0.7,0.6,0.3,0.4,0.5,0.7,0.9,0.4,0.8,-29.14,-28.213,,,,,,0229+131,74877325967391872,5.790921712244235E-4
86297,LQAC_029+013_015,3,TEX 0156+128,ICRF2,29.734474129,13.117428086,DR2,29.7344741385,13.1174277269,0.29,0.247,0.245,0.315,-0.412,0.671,-0.566,0.453,ABCDE-----KL-,DR2,1.8881,18.926,19.068,18.458,18.971,19.29,,18.66,19.008,18.908,18.642,18.596,,,14.954,13.83,11.316,8.22,0.337,0.348,0.343,0.18,,0.3,0.8,0.0,0.6,1.1,0.3,0.3,1.3,0.4,-26.61,-26.389,-27.345,-27.423,-27.838,-27.551,-27.854,0156+128,76919020276204032,0.0012933566519610297
97708,LQAC_035+016_001,3,J0220+1652,ICRF2,35.003161832,16.874607965,DR2,35.0031607641,16.8746086186,0.807,0.572,0.494,0.812,2.506,1.805,-0.296,1.018,AB-D------KL-,DR12,2.2,19.892,20.025,19.011,,21.29,19.751,,,20.02,18.96,,,,15.081,14.211,11.917,8.587,,0.474,,0.199,,,,,,,,,,,,,,,,,,0217+166,79702223508655360,0.004367072311581368
94111,LQAC_032+017_001,3,J0211+1707,ICRF2,32.953245342,17.122978086,DR2,32.9532454924,17.1229778961,0.524,0.58,-0.525,0.614,2.534,1.467,2.544,1.498,ABCD------KL-,DR12,1.9,19.901,20.269,19.307,,20.76,19.783,,,19.74,,,,,16.219,15.417,11.821,8.597,,0.272,,0.151,,0.1,0.6,1.5,0.4,2.7,2.1,,,,,,,,,,,0209+168,80191235599981952,8.573689482597105E-4
95440,LQAC_033+017_001,3,MC 0212+171,ICRF2,33.687136902,17.380419687,DR2,33.6871371098,17.3804198034,0.848,0.575,0.982,0.971,2.309,1.174,3.27,1.301,AB-D----I-KL-,DR12,0.472,20.139,20.128,18.892,,20.74,19.999,18.0,,19.57,18.51,,,,14.443,13.384,10.682,7.813,0.454,0.121,0.334,0.103,,0.6,0.0,0.5,0.6,0.1,1.8,,,,-21.876,-23.526,,,,,,0211+171,80532771399434368,8.279981886919242E-4
105707,LQAC_039+016_003,3,AO 0235+164,ICRF2,39.662208778,16.616465162,DR2,39.6622087421,16.6164651783,0.134,0.084,-0.097,0.128,0.285,0.222,0.374,0.172,ABCD----IJKL-,DR12,0.94,17.356,18.131,16.383,16.6,16.46,18.071,15.5,,15.87,16.43,,15.317,13.233,12.411,11.277,7.955,5.535,1.26,1.077,1.73,1.173,,0.2,0.9,0.1,1.3,0.1,0.3,0.9,0.7,0.4,-27.818,-27.185,,,,,,0235+164,81603794508719872,1.3719399844481207E-4
107167,LQAC_040+017_001,3,TEX 0239+175,ICRF2,40.601117829,17.716346923,DR2,40.6011175448,17.7163471457,0.806,0.721,0.014,0.825,1.566,1.873,-2.93,1.296,ABCD------K--,DR2,0.551,20.439,20.794,19.532,,21.39,,19.25,,20.18,,,,,14.566,13.497,10.595,8.011,0.184,0.218,0.176,0.217,,,,,,,,,,,-21.366,,,,,,,0239+175,82137847922098304,0.0012619484031753745
111815,LQAC_043+018_001,3,J0253+1805,ICRF2,43.395342661,18.095145653,DR2,43.3953427074,18.0951456627,0.283,0.237,-0.147,0.345,-0.939,0.559,0.091,0.418,ABCD------KL-,DR12,,18.628,18.852,18.227,,18.83,18.54,18.45,,18.34,17.67,,,,13.938,12.785,10.125,7.846,,0.189,0.3,0.172,,0.3,0.6,0.5,1.1,1.6,0.3,0.8,0.6,1.1,,,,,,,,0250+178,83501689016974208,1.6268954364335414E-4
113768,LQAC_044+019_001,3,TEX 0256+192,ICRF2,44.873566477,19.428979668,DR2,44.8735664118,19.4289798267,0.393,0.272,0.394,0.478,1.081,0.707,-0.075,0.512,AB--------KL-,DR12,0.545,19.098,19.201,18.29,,19.69,19.097,,,19.14,18.34,,,,13.434,12.385,9.897,7.238,0.145,0.143,0.159,0.169,,0.7,0.4,0.6,2.0,0.6,1.1,0.2,1.9,0.1,-24.026,-24.372,,,,,,0256+192,84066803637406848,6.127531794416953E-4
106471,LQAC_040+018_001,3,TEX 0237+185,ICRF2,40.17840108,18.800015011,DR2,40.1784011226,18.8000151507,0.43,0.469,0.053,0.459,-0.776,0.897,-1.049,0.862,ABCD----I-KL-,DR2,1.297,19.207,19.44,18.88,,19.61,,19.0,,18.81,18.92,,,,15.275,14.04,10.963,8.384,0.487,0.462,0.476,0.276,,0.9,0.9,0.6,0.2,1.0,0.7,1.2,0.2,0.8,-25.467,-25.292,,,,,,0237+185,84535058148522752,5.234262558191727E-4
99962,LQAC_036+018_001,3,TEX 0222+185,ICRF2,36.269453464,18.780212979,DR2,36.2694534756,18.7802129165,0.31,0.295,0.52,0.364,1.455,0.717,0.421,0.66,ABCD------KL-,DR12,2.69,19.06,19.399,18.415,,19.89,18.962,19.24,,18.67,18.47,,,,15.348,14.257,10.641,8.248,0.451,0.508,0.767,0.16,,0.6,0.3,0.8,0.8,0.1,1.5,0.5,1.3,0.5,-28.182,-27.911,,,,,,0222+185,86068567631718272,2.2838715026573465E-4
103445,LQAC_038+020_001,3,1ES 0229+200,BL LAC,38.202564171,20.288188194,DR2,38.202564185,20.288189942,0.202,0.182,-0.047,0.227,-0.082,0.509,-0.616,0.432,-B-------JKL-,DR12,0.14,17.773,17.652,16.291,,16.32,17.589,15.89,,13.96,13.35,,14.746,13.474,12.71,12.375,10.928,8.264,0.067,0.029,0.018,0.018,,0.7,0.7,0.1,1.0,0.6,0.6,1.2,0.6,0.1,-23.331,-25.57,,,,,,0229+200,86621076520103680,0.0062930703679160115
103258,LQAC_038+023_001,3,S2 0229+23,ICRF2,38.086485401,23.299127447,DR2,38.086485392,23.299127565,1.001,0.751,-2.307,1.043,-4.475,2.128,0.77,1.984,ABCD------K--,DR2,3.42,20.366,20.58,19.515,,21.5,,,,19.75,,,,,16.688,15.631,11.869,8.785,0.452,0.408,0.58,0.268,,,,,,,,,,,-27.392,,,,,,,0229+230,89883495022961280,4.2570263412559955E-4
73118,LQAC_024+017_001,3,PKS 0136+176,ICRF2,24.92491332,17.885430473,DR2,24.9249134678,17.8854304745,0.431,0.227,0.656,0.392,0.798,0.738,0.41,0.4,ABCDE---IJKL-,DR2,2.73,18.735,18.965,18.302,19.705,19.15,,18.5,18.956,18.715,18.625,18.48,16.961,15.814,15.295,14.333,11.663,9.012,0.42,0.48,0.52,0.245,,0.2,0.2,0.4,2.4,0.4,0.9,0.3,0.3,0.7,-28.131,-27.392,-28.548,-28.626,-29.041,-28.754,-29.057,0136+176,94868719398510464,5.065644118892432E-4
84184,LQAC_028+022_003,3,87GB 01531+2215,ICRF2,28.99556408,22.503296047,DR2,28.9955638757,22.5032963874,0.842,0.81,-0.602,0.953,0.166,1.897,0.108,1.498,ABCD------KL-,DR2,1.456,20.35,20.15,19.567,,20.04,,,,19.32,18.63,,,,15.494,14.34,11.458,8.916,0.23,0.315,0.305,0.181,,0.4,1.6,1.3,0.8,0.6,0.4,,,,-25.387,-25.844,,,,,,0153+222,97806678891957376,0.001401188292712277
78614,LQAC_026+021_003,3,TEX 0145+210,RADIO,26.9742619,21.261035092,DR2,26.974261792,21.2610349041,0.22,0.143,-0.236,0.25,0.351,0.317,-0.39,0.269,-B-D----IJKL-,DR12,0.62,17.933,18.134,17.56,,18.15,17.903,17.5,,17.92,17.19,,16.028,14.665,12.764,11.599,9.1,6.851,0.415,0.295,0.268,0.107,,0.6,0.2,0.3,1.0,0.6,0.9,0.1,1.2,0.0,-24.999,-25.422,,,,,,0145+210,97994832819118976,7.675429023536593E-4
81507,LQAC_028+022_002,3,PKS 0149+21,ICRF2,28.075246024,22.118805503,DR2,28.0752460231,22.1188056416,0.193,0.163,-0.088,0.226,0.474,0.435,0.098,0.385,ABCD----IJKL-,DR12,1.32,18.425,18.82,17.622,,19.23,18.249,20.76,,18.67,17.16,,15.887,14.012,13.689,12.5,9.432,6.94,1.07,0.863,1.43,0.903,,0.1,0.5,0.1,0.5,0.5,0.4,0.2,0.1,0.1,-25.887,-27.087,,,,,,0149+218,98517757972814592,4.990824760535123E-4
94562,LQAC_033+022_004,3,J0212+2244,RADIO+,33.220145346,22.747848089,DR2,33.2201453379,22.747848125,0.241,0.123,-0.033,0.159,0.032,0.545,0.071,0.237,-B-------JKL-,DR12,0.459,17.15,17.43,16.413,,17.74,16.822,17.43,,16.48,16.56,,15.4,13.958,12.701,12.02,9.836,7.933,,0.061,,0.07,,0.2,0.3,0.3,0.2,0.0,0.0,0.3,1.1,0.1,-24.674,-25.349,,,,,,0210+225,100863119353991808,1.3239111190170032E-4
90565,LQAC_031+024_001,3,SDSS 1237680073936076826,ICRF2,31.33884473,24.275791909,DR2,31.3388445436,24.2757914899,0.316,0.34,0.432,0.396,-0.042,0.732,0.961,0.69,AB-DE-----KL-,DR12,2.45046,19.183,19.43,18.652,20.501,19.33,19.092,18.54,19.576,19.279,19.074,18.684,,,,,,,,0.239,,0.225,,0.8,0.2,1.5,2.6,0.7,0.7,0.1,3.3,0.6,-27.522,-26.773,-28.323,-28.401,-28.816,-28.529,-28.832,0202+240,104450340464139904,0.0016281411662199454
112120,LQAC_043+023_001,3,87GB 02515+2331,ICRF2,43.602992266,23.724020629,DR2,43.6029923134,23.7240206821,0.828,0.678,-0.142,0.911,-1.432,1.655,-1.56,1.393,AB--------KL-,DR12,1.987,20.344,20.572,19.546,,20.89,20.116,,,19.75,,,,,16.191,15.299,12.229,8.44,,0.153,0.09,0.329,,0.9,1.5,0.3,0.2,2.9,1.0,0.3,1.8,0.0,-26.025,,,,,,,0251+235,113180222270414976,2.469655956997491E-4
108354,LQAC_041+024_001,3,J0245+2405,ICRF2,41.320233489,24.093102765,DR2,41.3202335354,24.0931036439,0.624,0.745,-0.156,0.797,-0.699,1.285,1.163,1.237,ABCD------KL-,DR2,2.243,20.088,20.094,19.2,,20.81,,,,19.19,18.94,,,,15.455,14.362,11.086,8.308,,0.326,,0.179,,0.1,0.2,1.0,1.4,0.7,1.2,0.2,0.5,1.3,-26.263,-26.934,,,,,,0242+238,113768323551869568,0.003167734746758261
113622,LQAC_044+029_001,3,J0258+2900,RADIO+,44.729921625,29.000446786,DR2,44.7299213852,29.0004465987,0.151,0.106,0.089,0.173,0.157,0.301,-0.147,0.232,-B-------JKL-,DR12,,17.556,17.876,16.972,,17.92,17.406,17.55,,17.05,17.18,,15.985,14.623,13.834,13.058,9.876,7.422,,0.066,,0.076,,0.2,0.9,0.4,0.6,0.1,0.3,0.3,0.6,0.1,,,,,,,,0255+288,116976599699710592,0.0010123333211656106
116445,LQAC_052+027_001,3,DW 0326+27,ICRF2,52.490289228,27.937638676,DR2,52.4902891546,27.9376386786,0.176,0.111,-0.002,0.192,0.453,0.399,0.018,0.248,ABCD-----JKL-,DR12,1.533,18.0,18.285,17.403,,17.91,17.869,18.1,,17.58,17.23,,16.624,15.782,14.37,13.174,10.05,8.311,1.34,1.185,0.88,0.469,,0.4,0.3,0.2,0.8,0.0,0.7,0.4,0.4,0.5,-28.06,-27.529,,,,,,0326+277,118127955875949312,2.3355886174464147E-4
115885,LQAC_049+031_001,3,J0319+3101,RADIO+,49.850046858,31.029012739,DR2,49.8500466724,31.0290127942,0.408,0.337,-0.725,0.514,-1.571,0.79,-0.982,0.871,-B-D------KL-,DR12,,19.334,19.738,18.762,,21.65,19.3,,,19.95,19.02,,,,15.644,14.624,11.945,9.005,,0.068,,0.087,,1.6,0.1,0.4,2.3,0.9,0.0,,,,,,,,,,,0316+308,124151080572547456,6.060231933410919E-4
116184,LQAC_051+034_001,3,B2 0321+33,ICRF2,51.171505493,34.179404696,DR2,51.1715054592,34.1794049098,0.08,0.053,-0.05,0.09,0.07,0.144,0.061,0.107,ABCD-----JKL-,DR12,0.061,15.775,15.939,15.015,,14.19,15.618,14.72,,14.15,13.82,,13.932,12.248,10.916,9.986,7.794,5.492,0.559,0.58,0.368,0.37,,3.9,0.5,0.0,1.3,0.1,0.4,0.0,0.6,0.5,-23.892,-23.433,,,,,,0321+340,125759532941980160,7.761921579366245E-4
103291,LQAC_038+026_001,3,J0232+2628,ICRF2,38.115096938,26.477386263,DR2,38.1150968737,26.4773862665,0.532,0.335,-0.578,0.436,0.174,1.167,-0.618,0.656,ABCD------KL-,DR12,2.772,19.433,19.692,18.923,,19.62,19.395,,,18.48,18.9,,,,15.918,15.159,12.095,8.904,,0.647,,0.38,,0.3,1.2,0.1,1.6,2.2,1.0,1.8,0.9,0.1,,,,,,,,0229+262,127279740909604352,2.0771406899423658E-4
105437,LQAC_039+028_003,3,B2 0234+28,ICRF2,39.468356989,28.802497229,DR2,39.4683569587,28.8024972574,0.152,0.122,-0.329,0.162,0.05,0.329,-0.112,0.219,ABCD----IJKL-,DR12,1.213,17.763,18.096,17.104,,18.68,17.426,18.91,,16.81,17.08,,15.139,13.327,12.449,11.263,8.45,6.046,2.4,1.906,2.3,2.382,,0.6,0.4,0.2,0.9,0.2,0.1,0.4,0.0,0.3,-26.525,-27.12,,,,,,0234+285,128214944269183232,1.4014416400021714E-4
100064,LQAC_036+029_001,3,J0225+2955,ICRF2,36.329980393,29.92003593,DR2,36.3299807917,29.920035925,0.333,0.318,0.593,0.376,-0.266,0.766,0.103,0.683,AB--------KL-,DR12,,19.537,19.483,19.03,,20.41,19.519,18.45,,19.48,,,,,14.994,14.035,10.984,8.563,,0.22,,0.136,,,,,,,,,,,,,,,,,,0222+296,131916420099400192,0.0012440752413451295
114362,LQAC_046+033_001,3,J0304+3348,ICRF2,46.17234352,33.812091808,DR2,46.1723435263,33.8120917223,0.348,0.292,0.284,0.448,1.049,0.627,-0.252,0.563,ABCD-----JKL-,DR12,,19.081,19.48,18.27,,18.13,19.07,18.7,,18.45,18.83,,16.271,14.773,13.41,12.279,9.527,7.007,,0.334,,0.361,,0.4,0.3,0.2,0.8,0.8,0.1,0.4,0.4,0.3,,,,,,,,0301+336,136220832028045056,3.089992299563896E-4
115134,LQAC_048+036_001,3,V Zw 326,BL LAC,48.2095332,36.255429061,DR2,48.2095324391,36.2554278296,0.303,0.198,0.079,0.352,-0.027,0.479,-0.031,0.399,-B-------JKL-,DR12,0.0715,17.878,17.532,16.04,,14.51,17.712,15.29,,14.1,14.51,,14.433,13.271,12.145,12.001,10.867,9.311,0.114,0.045,0.065,0.041,,0.8,0.1,0.7,0.9,0.3,0.2,0.5,0.2,0.4,-24.134,-23.131,,,,,,0309+360,139087533719190912,0.004952753212016488
114928,LQAC_047+038_001,3,B3 0307+380,ICRF2,47.70783304,38.248288298,DR2,47.7078328213,38.2482882553,1.237,0.785,-1.208,1.124,-0.4,1.897,0.465,1.574,ABCDE-----KL-,DR2,0.816,20.128,20.349,19.011,19.805,20.71,,17.62,19.064,18.425,17.974,17.63,,,12.873,11.828,9.835,7.272,,0.354,0.2,0.66,,1.6,0.8,0.2,0.8,0.8,0.5,0.3,2.0,1.9,-23.633,-25.528,-26.413,-26.606,-26.863,-27.131,-27.449,0307+380,139596504524330240,6.372547309320558E-4
111652,LQAC_043+038_001,3,S4 0249+38,ICRF2,43.287033648,38.590277515,DR2,43.2870337217,38.5902776427,0.466,0.31,0.23,0.432,0.149,0.717,0.874,0.572,ABCD------KL-,DR12,1.122,18.795,18.951,18.469,,18.82,18.67,,,18.24,18.3,,,,14.708,13.597,10.672,7.899,,0.528,0.46,0.434,,0.1,0.5,0.0,0.6,1.2,0.3,1.0,1.5,2.5,-25.933,-25.637,,,,,,0249+383,143313506661249920,5.042924945503831E-4
112231,LQAC_043+039_001,3,B3 0251+393,ICRF2,43.67763358,39.526308676,DR2,43.6776336532,39.5263086102,0.194,0.145,0.179,0.196,0.303,0.306,-0.559,0.276,ABCD-----JKL-,DR12,0.289,17.29,17.412,16.637,,17.27,17.16,16.81,,16.59,16.14,,15.895,14.355,13.182,12.222,9.434,7.144,,0.316,0.4,0.343,,1.2,0.4,0.1,0.6,1.3,0.1,0.8,0.3,0.3,-24.025,-24.787,,,,,,0251+393,143470809839700736,3.1225099777021354E-4
118776,LQAC_069+021_002,3,J0438+2153,ICRF2,69.732853964,21.886196381,DR2,69.7328539687,21.8861964356,0.662,0.425,-1.442,0.647,-1.399,1.355,-0.237,0.912,AB---------L-,DR12,1.3,20.064,20.151,19.309,,20.72,19.905,,,19.74,,,,,14.715,14.009,11.163,8.562,,0.261,,0.251,,0.4,0.1,0.3,0.5,0.0,1.9,0.3,1.9,0.8,,,,,,,,0435+217,144848493615846528,1.9722887507344283E-4
