recno,LQAC,Flag,OName,Nature,RAOdeg,DEOdeg,Source,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,Ref,GAIA,z,Gmag2,BPmag,RPmag,umag_1,Bmag_1,Gmag1,Vmag,gmag_1,rmag_1,imag_1,zmag_1,Jmag,Kmag,W1mag,W2mag,W3mag,W4mag,S1_4,S2_3,S5_0,S8_4,S23,I1B,I2B,I3B,I1R,I2R,I3R,I1I,I2I,I3I,BMAG_1a,IMAG_1a,uMAG_1a,gMAG_1a,rMAG_1a,iMAG_1b,zMAG_1a,iers_name,source_id,Separation
523510,LQAC_260+024_003,3,Q 1720+2501,ICRF2,260.720791211,24.976303113,DR2,260.7207915372,24.976303724,0.063,0.082,0.037,0.103,-0.208,0.13,0.149,0.173,AB-DE-----KL-,DR12,2.25,17.677,17.84,17.301,18.851,18.46,17.637,17.72,18.311,18.114,18.064,17.925,,,15.234,14.076,10.524,8.254,0.562,0.611,0.378,0.201,,1.3,0.6,0.1,0.3,0.2,0.2,0.2,1.1,1.9,-27.983,-27.526,-28.509,-28.587,-29.002,-28.716,-29.018,1720+250,4570295384237538432,0.0024437247508592806
525010,LQAC_271+022_002,3,CGRaBS J1807+2204,ICRF2,271.91169231,22.082336382,DR2,271.9116922459,22.0823365446,0.029,0.051,-0.095,0.063,0.089,0.058,-0.1,0.11,AB-------JKL-,DR12,0.798,16.543,16.595,16.302,,16.95,16.453,16.21,,16.45,16.16,,15.446,14.503,12.809,11.578,8.93,6.561,0.065,0.172,0.154,0.217,,0.3,0.1,0.2,0.1,0.4,0.3,0.1,0.4,0.3,-26.973,-27.128,,,,,,1805+220,4576447053022726912,6.232841940691384E-4
524896,LQAC_269+023_001,3,PKS 1756+237,ICRF2,269.751492038,23.729709363,DR2,269.751491844,23.7297089086,0.036,0.048,-0.074,0.06,0.039,0.076,0.078,0.103,ABCD-----J---,DR12,1.721,16.895,17.134,16.43,,,16.827,17.2,,,,,16.005,14.899,13.528,12.267,9.207,7.265,0.7,0.779,1.0,0.41,,,,,,,,,,,,,,,,,,1756+237,4577793920400200192,0.0017563838967403099
524706,LQAC_266+022_001,3,TEX 1742+228,ICRF2,266.269453543,22.880021469,DR2,266.2694534495,22.8800213221,0.266,0.355,0.526,0.468,0.219,0.586,1.206,0.915,ABCD------KL-,DR12,1.8838,20.016,20.383,19.42,,22.04,19.889,,,20.35,19.43,,,,15.541,14.436,11.163,8.593,0.192,0.199,0.205,0.222,,0.0,1.4,0.6,2.8,0.9,0.5,,,,-24.163,-25.734,,,,,,1742+228,4580460987712372224,6.129850788661552E-4
524729,LQAC_266+026_001,3,J1746+2603,ICRF2,266.701162084,26.055653941,DR2,266.7011633245,26.0556533832,0.236,0.282,0.931,0.367,-1.061,0.486,0.921,0.619,AB-------JKL-,DR12,0.147,18.389,18.118,16.687,,17.64,18.363,,,15.0,14.76,,15.332,14.091,13.01,12.37,9.893,7.47,,0.275,,0.217,,0.4,1.8,1.2,0.2,2.2,1.1,0.3,0.2,0.2,-21.909,-24.19,,,,,,1744+260,4582191588951485696,0.0044862718018060235
525211,LQAC_276+026_001,3,J1827+2638,ICRF2,276.833893981,26.640042086,DR2,276.8338941,26.6400421543,0.079,0.106,0.099,0.12,-0.294,0.172,-0.115,0.207,AB-D------KL-,DR12,,18.163,18.207,17.862,,18.12,18.163,18.54,,18.42,18.0,,,,14.036,13.081,10.749,7.968,,0.23,,0.135,,0.9,1.1,0.6,0.0,0.2,0.1,1.1,1.4,1.3,,,,,,,,1825+266,4585313407402860544,4.551366945252775E-4
525275,LQAC_278+028_001,3,B2 1830+28A,ICRF2,278.209106771,28.559987582,DR2,278.2091068982,28.5599875181,0.062,0.078,-0.049,0.089,-0.053,0.135,-0.205,0.156,ABC-----IJKL-,DR12,0.594,17.499,17.667,17.102,16.38,16.91,17.445,17.16,,17.56,17.07,,16.736,14.896,12.895,11.762,9.146,6.718,,0.454,0.5,0.573,,1.0,0.8,0.3,0.5,0.6,0.3,1.2,0.4,0.4,-26.34,-25.539,,,,,,1830+285,4587243260767814912,4.634085663998539E-4
525036,LQAC_272+027_001,3,B2 1807+27,ICRF2,272.299910827,27.969944402,DR2,272.2999108435,27.9699443466,0.08,0.1,0.035,0.113,0.03,0.169,-0.336,0.208,ABCD----IJKL-,DR12,1.76,17.89,18.155,17.362,,19.02,17.794,18.77,,18.3,17.81,,16.708,15.775,14.752,13.962,11.123,8.542,0.714,0.34,0.9,0.264,,1.3,0.4,0.4,0.5,1.1,1.2,0.4,0.8,0.9,-26.768,-27.074,,,,,,1807+279,4589262612651015040,2.0619651548215814E-4
525081,LQAC_273+029_001,3,TEX 1811+298,ICRF2,273.405278324,29.877186443,DR2,273.40527849,29.8771859516,0.359,0.48,-0.16,0.518,0.239,0.795,0.629,1.03,ABCD------KL-,DR12,1.351,20.115,20.206,19.472,,20.13,20.023,,,19.34,18.86,,,,15.391,14.458,11.679,8.974,0.284,0.328,0.298,0.199,,0.1,0.4,1.4,0.0,0.5,0.5,0.7,1.3,0.2,-25.159,-25.487,,,,,,1811+298,4590045258772526080,0.0018433592994983223
524806,LQAC_268+028_001,3,B2 1751+28,ICRF2,268.426973518,28.801371912,DR2,268.426973585,28.8013718475,0.171,0.243,-8.921,0.252,0.324,0.361,0.326,0.497,ABCD-----JKL-,DR12,1.115,19.187,19.497,18.553,,20.89,19.012,,,19.74,18.43,,14.358,12.634,14.919,13.694,11.258,8.885,0.8,0.581,0.7,0.811,,0.3,0.4,0.4,0.3,2.7,0.5,,,,-23.709,-25.434,,,,,,1751+288,4596492210841133568,3.1402777085119655E-4
524845,LQAC_269+029_001,3,J1756+2914,RADIO+,269.021881213,29.237793883,DR2,269.0218807094,29.2377939002,0.136,0.18,-0.111,0.208,-0.657,0.308,-0.281,0.43,-B-D------KL-,DR12,,18.609,18.808,18.129,,18.89,18.571,18.51,,18.39,17.77,,,,15.151,14.04,10.887,7.914,,,,0.236,,0.7,0.1,0.5,0.2,0.3,0.3,0.4,0.2,1.2,,,,,,,,1754+292,4596528876979755648,0.0015830547156917916
524786,LQAC_267+029_001,3,J1751+2920,ICRF2,267.92784975,29.347278375,DR2,267.9278496754,29.3472784296,0.194,0.24,-0.462,0.275,0.573,0.427,0.682,0.466,ABCD------KL-,DR12,,19.288,19.439,18.806,,18.65,19.151,18.5,,19.32,18.58,,,,14.822,13.726,10.215,7.59,,0.156,,0.336,,0.8,0.1,1.1,0.5,1.6,1.7,,,,,,,,,,,1749+293,4596580343569812608,3.0550544777104005E-4
523488,LQAC_260+028_011,3,RGB J1722+282,ICRF2,260.675673242,28.250021275,DR2,260.675673323,28.2500211443,0.115,0.116,0.055,0.163,0.572,0.267,-0.369,0.239,ABCDE-----KL-,DR12,0.9447,18.129,18.311,17.791,18.412,18.27,18.067,18.56,18.191,18.056,18.108,18.095,,,14.836,13.839,11.126,8.387,0.231,0.267,0.224,0.277,,0.5,0.6,0.2,0.3,0.5,0.1,1.9,0.3,1.1,-25.863,-25.444,-25.998,-25.869,-26.082,-25.83,-26.114,1720+282,4598476245213786496,5.362158936638669E-4
523960,LQAC_261+032_001,3,RGB J1726+322,ICRF2,261.646352876,32.223061698,DR2,261.6463528003,32.2230617483,0.061,0.077,-0.101,0.086,-0.002,0.13,-0.047,0.142,ABCD---H-JKL-,DR12,1.09,17.529,17.688,17.134,,17.78,17.455,17.69,,17.99,17.34,,16.554,15.182,14.46,13.257,10.257,7.808,0.124,0.132,0.192,0.255,,1.7,0.0,0.2,1.4,0.0,0.1,0.4,0.6,0.2,-26.72,-26.463,,,,,,1724+322,4600394347544921088,2.931350736634705E-4
524588,LQAC_264+032_001,3,RGB J1738+324,ICRF2,264.66875759,32.402507153,DR2,264.6687575956,32.4025071046,0.043,0.048,-4.951,0.06,-0.03,0.092,-0.016,0.098,ABCD-----JKL-,DR12,0.126,16.275,16.501,15.61,,16.07,16.223,15.74,,14.88,14.57,,14.723,13.21,11.81,10.9,8.287,6.346,0.158,0.15,0.142,0.166,,1.6,0.3,0.1,0.1,0.0,0.3,0.1,0.2,0.3,-22.955,-23.923,,,,,,1736+324,4600965956152818560,1.7506939090397165E-4
524609,LQAC_264+033_004,3,TEX 1737+339,ICRF2,264.897343856,33.968942794,DR2,264.8973435214,33.9689428222,0.457,0.513,-0.439,0.591,1.0,0.991,1.73,1.24,ABCD------K--,DR12,1.625,20.499,20.329,19.945,,20.88,20.351,,,20.4,,,,,16.06,15.062,11.689,8.6,0.149,0.204,0.179,0.172,,,,,,,,,,,-24.547,,,,,,,1737+339,4602282445232405376,0.001004194068937829
524832,LQAC_268+033_002,3,RXS J17551+3351,RADIO,268.796853558,33.849944161,DR2,268.796853826,33.8499429379,0.71,0.764,-0.419,0.902,0.483,1.617,-0.422,1.8,-BCD-----JKL-,DR12,0.242,19.721,19.21,17.811,,18.5,19.572,17.5,,17.27,17.2,,15.932,14.339,14.034,13.335,10.493,7.534,0.135,0.029,0.139,0.029,,0.3,0.4,0.1,0.1,0.3,0.3,0.0,1.0,0.6,-22.096,-22.982,,,,,,1753+338,4604344648009660544,0.004475513961319036
524749,LQAC_267+034_001,3,87GB 17462+3404,ICRF2,267.024248661,34.066994622,DR2,267.0242485744,34.0669945221,0.126,0.156,7.811,0.156,-0.55,0.361,0.592,0.393,AB-------JKL-,DR12,2.763,18.756,19.078,18.017,,21.39,18.321,,,18.75,17.37,,16.115,14.509,12.919,11.895,9.247,6.96,0.144,0.204,0.151,0.161,,,,,,,,,,,-25.85,-28.625,,,,,,1746+340,4607507908602761344,4.4272203493716833E-4
524917,LQAC_270+038_001,3,S4 1758+38,ICRF2,270.103189005,38.808527093,DR2,270.1031889458,38.8085269773,0.081,0.092,-0.097,0.094,0.077,0.18,0.484,0.209,ABCD----IJKL-,DR12,2.092,17.728,17.884,17.264,,17.75,17.67,18.0,,17.43,17.06,,16.423,15.277,14.626,13.46,10.39,8.138,0.4,0.42,0.8,1.069,,0.1,0.8,0.3,0.7,0.1,0.0,0.4,0.6,0.1,-28.303,-28.239,,,,,,1758+388,4611125301857579776,4.4844200744279623E-4
32716,LQAC_011-084_001,3,J0044-8422,RADIO+,11.111201271,-84.377774669,DR2,11.1112030802,-84.3777743082,0.4,0.268,-0.236,0.36,0.004,0.739,-0.205,0.518,-B-------JKL-,DR12,1.032,19.639,19.651,18.999,,19.57,19.691,,,19.74,18.3,,16.918,15.059,14.035,12.999,9.827,7.386,,,,0.273,,,,,1.3,0.3,0.0,,,,-25.264,-25.619,,,,,,0044-846,4617438457106912000,0.0014470991398084002
118949,LQAC_072-081_001,3,PKS 0454-81,ICRF2,72.522667506,-81.017286479,DR2,72.5226673618,-81.0172864635,0.245,0.372,0.235,0.301,0.379,0.502,0.655,0.805,AB------IJKL-,DR12,0.444,19.21,19.506,18.189,,19.2,19.123,19.6,,18.53,18.72,,16.809,15.01,12.704,11.622,9.22,6.734,,,1.36,1.516,,,,,,,,,,,-23.102,-23.102,,,,,,0454-810,4622028063454680192,9.841652372461176E-5
101959,LQAC_037-078_002,3,PKS 0230-790,ICRF2,37.395610807,-78.796000499,DR2,37.3956113385,-78.7960004744,0.314,0.262,0.218,0.294,-1.528,0.585,-0.601,0.502,AB--------KL-,DR12,1.07,19.387,19.591,18.958,,18.91,19.308,,,18.61,18.77,,,,14.438,13.32,10.617,8.275,,,0.77,0.267,,,,,0.0,1.0,0.2,,,,-25.727,-25.081,,,,,,0230-790,4632618108480315264,3.8217644550826924E-4
88542,LQAC_030-076_001,3,PKS 0202-76,ICRF2,30.557056878,-76.33418419,DR2,30.5570573442,-76.3341839898,0.06,0.05,0.061,0.056,-0.056,0.113,-0.001,0.1,AB------IJKL-,DR12,0.3894,16.687,16.698,16.255,16.06,16.83,16.744,16.77,,16.27,16.61,,15.737,13.923,12.454,11.291,8.873,6.327,,,0.81,0.091,,,,,0.2,0.3,0.5,0.0,1.0,0.4,-24.955,-24.885,,,,,,0202-765,4637046842533931776,8.227209429084409E-4
