Experience,Date,Band,Source,ICRF3 Cat.,Flux (Jy),Structure index,Compactness,Map Quality
RDV74,2009-04-21 00:00:00.000,X-band,0700-197,D,0.29,3.23,0.76,1092.13
RDV72,2008-12-17 00:00:00.000,X-band,0700-197,D,0.28,3.47,0.75,561.06
B9725A,1997-01-10 00:00:00.000,X-band,0406-127,D,0.27,3.2,0.77,
B9725B,1997-01-11 00:00:00.000,X-band,0611+131,ND,0.27,2.42,0.74,
RDV73,2009-01-21 00:00:00.000,X-band,0524+034,D,0.27,2.42,0.61,
RV114,2015-12-02 00:00:00.000,X-band,0654+244,ND,0.26,3.29,0.68,1363.92
RDV80,2010-08-04 00:00:00.000,X-band,0442+389,ND,0.25,2.99,0.54,2149.5
RV112,2015-07-15 00:00:00.000,X-band,0406-127,D,0.24,3.11,0.81,983.78
RDV79,2010-06-23 00:00:00.000,X-band,0506+101,D,0.24,1.86,0.63,
RDV86,2011-04-05 00:00:00.000,X-band,0442+389,ND,0.24,3.33,0.39,1632.37
RV108,2014-12-03 00:00:00.000,X-band,0406-127,D,0.23,3.11,0.77,1003.47
RDV57,2006-07-11 00:00:00.000,X-band,0629-418,ND,0.23,2.7,0.7,
RDV84,2010-12-07 00:00:00.000,X-band,0534-340,D,0.23,3.01,0.7,739.96
RDV72,2008-12-17 00:00:00.000,X-band,0358+210,ND,0.23,3.73,0.77,514.79
RV122,2017-04-25 00:00:00.000,X-band,0358+040,ND,0.22,2.82,0.88,1432.74
RV120,2016-11-30 00:00:00.000,X-band,0358+210,ND,0.22,2.83,0.88,1319.89
RV106,2014-09-03 00:00:00.000,X-band,0406-127,D,0.21,2.63,0.81,1774.42
RDV76,2009-07-29 00:00:00.000,X-band,0442+389,ND,0.21,3.32,0.58,1259.55
RV114,2015-12-02 00:00:00.000,X-band,0628+203,ND,0.2,2.63,0.86,1830.47
RDV63,2007-06-26 00:00:00.000,X-band,0442+389,ND,0.18,2.4,0.75,
RDV88,2011-08-02 00:00:00.000,X-band,0358+210,ND,0.17,3.03,0.89,754.07
RDV73,2009-01-21 00:00:00.000,X-band,0358+210,ND,0.16,0.2,0.9,
RDV82,2010-10-13 00:00:00.000,X-band,0358+210,ND,0.15,3.15,0.78,1130.32
RDV72,2008-12-17 00:00:00.000,X-band,0442+389,ND,0.14,3.51,0.56,825.6
RDV80,2010-08-04 00:00:00.000,X-band,0358+210,ND,0.14,2.78,0.87,1174.83
RV114,2015-12-02 00:00:00.000,X-band,0548+084,D,0.13,3.02,0.82,1296.94
RDV90,2011-12-20 00:00:00.000,X-band,0639+352,ND,0.12,3.38,0.63,886.66
RDV79,2010-06-23 00:00:00.000,X-band,0358+210,ND,0.1,0.2,0.87,
RV118,2016-07-06 00:00:00.000,X-band,0430-332,ND,0.1,3.27,0.8,757.67
RDV78,2009-12-02 00:00:00.000,X-band,0727-115,D,7.4,1.89,0.82,3202.89
RDV64,2007-07-10 00:00:00.000,X-band,0727-115,D,7.11,1.83,0.77,20662.3
RDV77,2009-10-07 00:00:00.000,X-band,0727-115,D,7.1,1.51,0.76,
RDV79,2010-06-23 00:00:00.000,X-band,0727-115,D,6.93,1.95,0.74,
RDV76,2009-07-29 00:00:00.000,X-band,0727-115,D,6.82,1.41,0.79,8941.09
RDV63,2007-06-26 00:00:00.000,X-band,0727-115,D,6.58,1.51,0.91,
RDV75,2009-05-13 00:00:00.000,X-band,0727-115,D,6.42,1.6,0.77,
RV124,2017-07-17 00:00:00.000,X-band,0851+202,ND,6.11,1.83,0.86,5654.3
RV116,2016-02-09 00:00:00.000,X-band,0727-115,D,6.09,1.51,0.86,8802.73
RDV92,2012-04-18 00:00:00.000,X-band,0851+202,ND,6.05,2.23,0.68,5552.25
RDV71,2008-09-03 00:00:00.000,X-band,0727-115,D,5.71,1.56,0.64,
RDV69,2008-05-14 00:00:00.000,X-band,0727-115,D,5.65,2.54,0.86,
RDV82,2010-10-13 00:00:00.000,X-band,0727-115,D,5.62,1.68,0.69,6847.83
RDV84,2010-12-07 00:00:00.000,X-band,0851+202,ND,5.61,1.72,0.78,8119.93
RDV65,2007-08-01 00:00:00.000,X-band,0727-115,D,5.51,2.82,0.91,
RDV86,2011-04-05 00:00:00.000,X-band,0851+202,ND,5.5,1.95,0.75,4680.8
RDV68,2008-04-02 00:00:00.000,X-band,0727-115,D,5.37,1.83,0.73,4889.3
RV124,2017-07-17 00:00:00.000,X-band,0727-115,D,5.33,1.56,0.83,5796.95
RDV73,2009-01-21 00:00:00.000,X-band,0727-115,D,5.22,2.6,0.73,
RDV66,2007-12-05 00:00:00.000,X-band,0727-115,D,5.21,2.04,0.7,5561.16
RV110,2015-03-25 00:00:00.000,X-band,0727-115,D,5.18,1.68,0.85,6609.45
RDV67,2008-01-23 00:00:00.000,X-band,0727-115,D,5.0,1.29,0.86,
RDV90,2011-12-20 00:00:00.000,X-band,0851+202,ND,4.91,2.54,0.66,3331.74
RDV78,2009-12-02 00:00:00.000,X-band,0851+202,ND,4.64,1.92,0.88,3400.93
RV118,2016-07-06 00:00:00.000,X-band,0851+202,ND,4.27,2.09,0.78,4822.17
RDV45,2004-07-14 00:00:00.000,X-band,0727-115,D,4.22,2.23,0.61,
RDV42,2003-12-17 00:00:00.000,X-band,0727-115,D,4.17,2.48,0.49,2562.55
BR945,1994-07-08 00:00:00.000,X-band,0727-115,D,4.14,2.16,0.7,
RV102,2013-12-11 00:00:00.000,X-band,0727-115,D,4.1,1.64,0.84,6252.83
